Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,Sex,genotype,assay
SRR19217740,20752381,6267219062,151,1995,SRX15281702,GSM6153492,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013102,SAMN28447095,simple,10090,Mus musculus,GSM6153492,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO female1, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,female,cKO,RNAseq
SRR19217741,20668994,6242036188,151,1985,SRX15281702,GSM6153492,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013102,SAMN28447095,simple,10090,Mus musculus,GSM6153492,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO female1, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,female,cKO,RNAseq
SRR19217738,18171403,5487763706,151,1758,SRX15281703,GSM6153493,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013103,SAMN28447094,simple,10090,Mus musculus,GSM6153493,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO female2, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,female,cKO,RNAseq
SRR19217739,18283528,5521625456,151,1768,SRX15281703,GSM6153493,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013103,SAMN28447094,simple,10090,Mus musculus,GSM6153493,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO female2, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,male,cKO,RNAseq
SRR19217736,31818618,9609222636,151,3050,SRX15281704,GSM6153494,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013104,SAMN28447093,simple,10090,Mus musculus,GSM6153494,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO female3, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,male,cKO,RNAseq
SRR19217737,32189364,9721187928,151,3083,SRX15281704,GSM6153494,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013104,SAMN28447093,simple,10090,Mus musculus,GSM6153494,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO female3, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,male,cKO,RNAseq
SRR19217734,30505208,9212572816,151,2933,SRX15281705,GSM6153495,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013105,SAMN28447092,simple,10090,Mus musculus,GSM6153495,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO male1, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,female,WT,RNAseq
SRR19217735,30898346,9331300492,151,2969,SRX15281705,GSM6153495,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013105,SAMN28447092,simple,10090,Mus musculus,GSM6153495,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO male1, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,female,WT,RNAseq
SRR19217732,26164867,7901789834,151,2516,SRX15281706,GSM6153496,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013106,SAMN28447091,simple,10090,Mus musculus,GSM6153496,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO male2, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,male,WT,RNAseq
SRR19217733,26502851,8003861002,151,2547,SRX15281706,GSM6153496,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP375353,PRJNA838490,35762573,"",SRS13013106,SAMN28447091,simple,10090,Mus musculus,GSM6153496,"Molecular Genetics and Microbiology, Duke University School of Medicine",SRA1420799,05,2022,Hoye,E11.5 neocortex,"CKO male2, RNAseq",E11.5 neocortex,E11.5 neocortex,C57BL/6J,male,WT,RNAseq
