Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,age,growth medium,ecotype
SRR19454927,62026753,3163364403,51,1328,SRX15507834,GSM6208353,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222460,SAMN28780386,simple,3702,Arabidopsis thaliana,GSM6208353,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, WT, replicate 1",rosette leave,rosette leave,wild-type,21-day-old,soil,Col-0
SRR19454926,56008470,2856431970,51,1209,SRX15507835,GSM6208354,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222461,SAMN28780385,simple,3702,Arabidopsis thaliana,GSM6208354,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, WT, replicate 2",rosette leave,rosette leave,wild-type,21-day-old,soil,Col-0
SRR19454925,64837018,3306687918,51,1385,SRX15507836,GSM6208355,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222462,SAMN28780384,simple,3702,Arabidopsis thaliana,GSM6208355,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, xrn2-1, replicate 1",rosette leave,rosette leave,xrn2-1 mutant,21-day-old,soil,Col-0
SRR19454924,64132113,3270737763,51,1381,SRX15507837,GSM6208356,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222463,SAMN28780383,simple,3702,Arabidopsis thaliana,GSM6208356,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, xrn2-1, replicate 2",rosette leave,rosette leave,xrn2-1 mutant,21-day-old,soil,Col-0
SRR19454923,68562191,3496671741,51,1472,SRX15507838,GSM6208357,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222464,SAMN28780382,simple,3702,Arabidopsis thaliana,GSM6208357,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, xrn3-3, replicate 1",rosette leave,rosette leave,xrn3-3 mutant,21-day-old,soil,Col-0
SRR19454922,56783710,2895969210,51,1227,SRX15507839,GSM6208358,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222465,SAMN28780381,simple,3702,Arabidopsis thaliana,GSM6208358,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, xrn3-3, replicate 2",rosette leave,rosette leave,xrn3-3 mutant,21-day-old,soil,Col-0
SRR19454921,63426243,3234738393,51,1371,SRX15507840,GSM6208359,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222466,SAMN28780380,simple,3702,Arabidopsis thaliana,GSM6208359,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, xrn4-6, replicate 1",rosette leave,rosette leave,xrn4-6 mutant,21-day-old,soil,Col-0
SRR19454920,56207548,2866584948,51,1195,SRX15507841,GSM6208360,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222469,SAMN28780379,simple,3702,Arabidopsis thaliana,GSM6208360,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, xrn4-6, replicate 2",rosette leave,rosette leave,xrn4-6 mutant,21-day-old,soil,Col-0
SRR19454919,54173801,2762863851,51,1142,SRX15507842,GSM6208361,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222467,SAMN28780378,simple,3702,Arabidopsis thaliana,GSM6208361,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, fry1-6, replicate 1",rosette leave,rosette leave,fry1-6 mutant,21-day-old,soil,Col-0
SRR19454918,54657321,2787523371,51,1168,SRX15507843,GSM6208362,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP377803,PRJNA844064,1,"",SRS13222468,SAMN28780377,simple,3702,Arabidopsis thaliana,GSM6208362,"Agricultural Biotechnology Research Center, Academia Sinica",SRA1429157,09,2022,Makar,rosette leave,"21-day-old, fry1-6, replicate 2",rosette leave,rosette leave,fry1-6 mutant,21-day-old,soil,Col-0
