Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,replicate,batch,geo_loc_name,collection_date,time
SRR19574058,24508470,7401557940,151,2111,SRX15625942,GSM6216002,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326067,SAMN28903590,simple,9606,Homo sapiens,GSM6216002,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293T,Anisomycin 2,HEK293T,HEK293T,Anisomycin,2,1,missing,missing,
SRR19574057,19720792,5955679184,151,1708,SRX15625943,GSM6216003,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326068,SAMN28903589,simple,9606,Homo sapiens,GSM6216003,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293T,Anisomycin 1,HEK293T,HEK293T,Anisomycin,1,1,missing,missing,
SRR19574056,21904966,6615299732,151,1890,SRX15625944,GSM6216004,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326069,SAMN28903588,simple,9606,Homo sapiens,GSM6216004,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293T,Control 2,HEK293T,HEK293T,Control,2,1,missing,missing,
SRR19574055,23287820,7032921640,151,2024,SRX15625945,GSM6216005,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326070,SAMN28903587,simple,9606,Homo sapiens,GSM6216005,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293T,Control 1,HEK293T,HEK293T,Control,1,1,missing,missing,
SRR19574054,25317890,7646002780,151,2191,SRX15625946,GSM6216006,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326071,SAMN28903586,simple,9606,Homo sapiens,GSM6216006,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293T,Didemnin B 2,HEK293T,HEK293T,Didemnin B,2,1,missing,missing,
SRR19574053,19031674,5747565548,151,1637,SRX15625947,GSM6216007,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326073,SAMN28903585,simple,9606,Homo sapiens,GSM6216007,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293T,Didemnin B 1,HEK293T,HEK293T,Didemnin B,1,1,missing,missing,
SRR19574052,25916590,7826810180,151,2238,SRX15625948,GSM6216008,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326072,SAMN28903584,simple,9606,Homo sapiens,GSM6216008,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 1hr 2,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,2,2,missing,missing,1hr
SRR19574051,25418441,7676369182,151,2208,SRX15625949,GSM6216009,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326074,SAMN28903583,simple,9606,Homo sapiens,GSM6216009,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 1hr 1,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,1,2,missing,missing,1hr
SRR19574050,26382747,7967589594,151,2269,SRX15625950,GSM6216010,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326075,SAMN28903582,simple,9606,Homo sapiens,GSM6216010,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 2hr 2,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,2,2,missing,missing,2hr
SRR19574049,28471289,8598329278,151,2468,SRX15625951,GSM6216011,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP378959,PRJNA846773,1,"",SRS13326076,SAMN28903581,simple,9606,Homo sapiens,GSM6216011,"Anita Sil, Microbiology and Immunology, University of California",SRA1433382,07,2023,Makar,HEK293-FcgR,Legionella dotA 2hr 1,HEK293-FcgR,HEK293-FcgR,Legionella delta-dotA,1,2,missing,missing,2hr
