Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment
SRR19641913,35602743,1815739893,51,1026,SRX15691910,GSM6239412,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388311,SAMN29017470,simple,9606,Homo sapiens,GSM6239412,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U266 siScramble 1 [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,Control knockdown,siScramble transfection
SRR19641912,35497307,1810362657,51,1268,SRX15691911,GSM6239413,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388312,SAMN29017469,simple,9606,Homo sapiens,GSM6239413,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U266 siScramble 1 replicate [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,Control knockdown,siScramble transfection
SRR19641911,43431259,2214994209,51,1500,SRX15691912,GSM6239414,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388313,SAMN29017468,simple,9606,Homo sapiens,GSM6239414,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U266 siScramble 2 [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,Control knockdown,siScramble transfection
SRR19641910,30289705,1544774955,51,1031,SRX15691913,GSM6239415,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388314,SAMN29017467,simple,9606,Homo sapiens,GSM6239415,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U266 siScramble 2 replicate [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,Control knockdown,siScramble transfection
SRR19641909,32818141,1673725191,51,1179,SRX15691914,GSM6239416,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388316,SAMN29017466,simple,9606,Homo sapiens,GSM6239416,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U266 siScramble 3 [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,Control knockdown,siScramble transfection
SRR19641908,31779145,1620736395,51,1133,SRX15691915,GSM6239417,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388315,SAMN29017465,simple,9606,Homo sapiens,GSM6239417,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U266 siScramble 3 replicate [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,Control knockdown,siScramble transfection
SRR19641907,42625064,2173878264,51,1216,SRX15691916,GSM6239418,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388317,SAMN29017464,simple,9606,Homo sapiens,GSM6239418,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U288 siBCMA 1 [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,BCMA knockdown,siBCMA transfection
SRR19641906,44562795,2272702545,51,1574,SRX15691917,GSM6239419,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388318,SAMN29017463,simple,9606,Homo sapiens,GSM6239419,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U288 siBCMA 1 replicate [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,BCMA knockdown,siBCMA transfection
SRR19641905,47971079,2446525029,51,1679,SRX15691918,GSM6239420,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388319,SAMN29017462,simple,9606,Homo sapiens,GSM6239420,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U288 siBCMA 2 [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,BCMA knockdown,siBCMA transfection
SRR19641904,43108935,2198555685,51,1525,SRX15691919,GSM6239421,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP379974,PRJNA848829,35881112,"",SRS13388320,SAMN29017461,simple,9606,Homo sapiens,GSM6239421,"Radiation Oncology, The University of Texas MD Anderson Cancer Center",SRA1436965,06,2022,Miao,Plasma cell,U288 siBCMA 2 replicate [Ribo],Plasma cell,Plasma cell,U266,Multiple myeloma,BCMA knockdown,siBCMA transfection
