Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment
SRR19749681,50857670,5085767000,50,1393,SRX15795486,GSM6253647,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487919,SAMN29203292,simple,9606,Homo sapiens,GSM6253647,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH1_untreated_biol rep 1 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,untreated
SRR19749680,72937639,7293763900,50,1993,SRX15795487,GSM6253648,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487920,SAMN29203291,simple,9606,Homo sapiens,GSM6253648,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH2_untreated_biol rep 2 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,untreated
SRR19749679,49581923,4958192300,50,1352,SRX15795488,GSM6253649,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487921,SAMN29203290,simple,9606,Homo sapiens,GSM6253649,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH3_untreated_biol rep 3 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,untreated
SRR19749678,54414317,5441431700,50,1492,SRX15795489,GSM6253650,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487922,SAMN29203289,simple,9606,Homo sapiens,GSM6253650,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH4_IFNg_biol rep 1 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,IFNg
SRR19749677,52701496,5270149600,50,1446,SRX15795490,GSM6253651,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487923,SAMN29203288,simple,9606,Homo sapiens,GSM6253651,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH5_IFNg_biol rep 2 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,IFNg
SRR19749676,74893310,7489331000,50,2049,SRX15795491,GSM6253652,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487924,SAMN29203287,simple,9606,Homo sapiens,GSM6253652,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH6_IFNg_biol rep 3 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,IFNg
SRR19749675,89024970,8902497000,50,2418,SRX15795492,GSM6253653,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487925,SAMN29203286,simple,9606,Homo sapiens,GSM6253653,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH7_DOX-pulse_biol rep 1 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX
SRR19749674,104389529,10438952900,50,2836,SRX15795493,GSM6253654,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487926,SAMN29203285,simple,9606,Homo sapiens,GSM6253654,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH8_DOX-pulse_biol rep 2 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX
SRR19749673,122001835,12200183500,50,3327,SRX15795494,GSM6253655,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487927,SAMN29203284,simple,9606,Homo sapiens,GSM6253655,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH9_DOX-pulse_biol rep 3 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX
SRR19749672,65071572,6507157200,50,1782,SRX15795495,GSM6253656,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP382497,PRJNA850795,1,"",SRS13487928,SAMN29203283,simple,9606,Homo sapiens,GSM6253656,"Tapscott, Human Biology, Fred Hutch Cancer Research Center",SRA1439764,06,2022,Makar,MB135iDUX4,DCH10_DOX-pulse_IFNg_biol rep 1 [Ribo-seq],MB135iDUX4,MB135iDUX4,myoblasts,WT,DOX+IFNg
