Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,geo_loc_name,tissue,treatment,BioSampleModel,collection_date
SRR19907863,590717549,60253189998,51,16565,SRX15950613,Ribo-mock1_S1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637272,SAMN29333246,simple,3702,Arabidopsis thaliana,Ribo-mock1_S1,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,Ribosome-sequencing-mock-replicate1,Plant,
SRR19907862,547155020,165240816040,151,54270,SRX15950614,MH4_S4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637273,SAMN29333263,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MH4_S4,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-DMSO-replicate4,Plant,
SRR19907861,700802674,211642407548,151,69426,SRX15950615,MN1_S5,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637274,SAMN29333264,simple,3702,Arabidopsis thaliana,SHAPE-MaP-MN1_S5,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-Mock-NAI-replicate1,Plant,
SRR19907859,507200010,51734401020,51,14451,SRX15950617,Ribo-mock3_S3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637276,SAMN29333248,simple,3702,Arabidopsis thaliana,Ribo-mock3_S3,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,Ribosome-sequencing-mock-replicate3,Plant,
SRR19907858,715128528,215968815456,151,70682,SRX15950618,EH4_S12,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637277,SAMN29333255,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EH4_S12,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-DMSO-replicate4,Plant,
SRR19907857,691978419,208977482538,151,68490,SRX15950619,EH3_S11,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637278,SAMN29333254,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EH3_S11,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-DMSO-replicate3,Plant,
SRR19907856,599821561,181146111422,151,59177,SRX15950620,EH2_S10,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637279,SAMN29333253,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EH2_S10,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-DMSO-replicate2,Plant,
SRR19907855,536321862,161969202324,151,53011,SRX15950621,EH1_S9,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637280,SAMN29333252,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EH1_S9,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-DMSO-replicate1,Plant,
SRR19907854,557507497,56865764694,51,15831,SRX15950622,Ribo-mock2_S2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637281,SAMN29333247,simple,3702,Arabidopsis thaliana,Ribo-mock2_S2,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,Ribosome-sequencing-mock-replicate2,Plant,
SRR19919786,840802024,251972139566,,83636,SRX15950623,EN1_S13,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP384345,PRJNA852547,1,"",SRS13637282,SAMN29333256,simple,3702,Arabidopsis thaliana,SHAPE-MaP-EN1_S13,Duke University,SRA1443807,07,2023,Makar,"","",Col-0,8-day-old,USA,seedlings,SHAPE-MaP-elf18-NAI-replicate1,Plant,
