Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,geo_loc_name,collection_date,genotype
SRR19850674,76305661,2299261939,30,2613,SRX15894241,GSM6266958,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583151,SAMN29351797,simple,9606,Homo sapiens,GSM6266958,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_DMSO_Rep1,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with either 0.1% DMSO,missing,missing,
SRR19850673,110387917,3161683303,28,3738,SRX15894242,GSM6266959,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583152,SAMN29351796,simple,9606,Homo sapiens,GSM6266959,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_DMSO_Rep2,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with either 0.1% DMSO,missing,missing,
SRR19850672,97493491,2754648402,28,3296,SRX15894243,GSM6266960,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583153,SAMN29351795,simple,9606,Homo sapiens,GSM6266960,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_DMSO_Rep3,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with either 0.1% DMSO,missing,missing,
SRR19850671,5377469,162403822,30,185,SRX15894244,GSM6266961,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583154,SAMN29351794,simple,9606,Homo sapiens,GSM6266961,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_C6_Rep1,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 2 uM C6,missing,missing,
SRR19850670,22139863,640878154,28,755,SRX15894245,GSM6266962,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583155,SAMN29351793,simple,9606,Homo sapiens,GSM6266962,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_C6_Rep2,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 2 uM C6,missing,missing,
SRR19850669,16098982,452805629,28,546,SRX15894246,GSM6266963,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583156,SAMN29351792,simple,9606,Homo sapiens,GSM6266963,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_C6_Rep3,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 2 uM C6,missing,missing,
SRR19850668,8727252,264018266,30,300,SRX15894247,GSM6266964,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583157,SAMN29351791,simple,9606,Homo sapiens,GSM6266964,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_C16_Rep1,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 100 nM C16,missing,missing,
SRR19850667,36157009,1051454562,29,1231,SRX15894248,GSM6266965,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583158,SAMN29351790,simple,9606,Homo sapiens,GSM6266965,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_C16_Rep2,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 100 nM C16,missing,missing,
SRR19850666,27342704,774465084,28,927,SRX15894249,GSM6266966,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583159,SAMN29351789,simple,9606,Homo sapiens,GSM6266966,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RiboProfile_C16_Rep3,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 100 nM C16,missing,missing,
SRR19850665,66484414,19945324200,150,6336,SRX15894250,GSM6266967,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP383559,PRJNA852784,1,"",SRS13583160,SAMN29351788,simple,9606,Homo sapiens,GSM6266967,Vanderbilt University Medical Center,SRA1615546,07,2023,Makar,MV4_11,MV4-11_RNAseq_DMSO_Rep1,MV4_11,MV4_11,MLL-rearranged leukemia,48 Hour treatment with 0.1% DMSO,missing,missing,
