Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,geo_loc_name,collection_date
SRR19899152,55022690,4731951340,86,1626,SRX15942046,GSM6281241,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629021,SAMN29419597,simple,7227,Drosophila melanogaster,GSM6281241,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL LSD rep1,whole larvae,whole larvae,CTRL,low sugar,missing,missing
SRR19899151,50797219,4368560834,86,1507,SRX15942047,GSM6281242,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629023,SAMN29419596,simple,7227,Drosophila melanogaster,GSM6281242,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL LSD rep2,whole larvae,whole larvae,CTRL,low sugar,missing,missing
SRR19899150,58201108,5005295288,86,1720,SRX15942048,GSM6281243,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629022,SAMN29419595,simple,7227,Drosophila melanogaster,GSM6281243,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL LSD rep3,whole larvae,whole larvae,CTRL,low sugar,missing,missing
SRR19899149,60336522,5188940892,86,1792,SRX15942049,GSM6281244,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629024,SAMN29419594,simple,7227,Drosophila melanogaster,GSM6281244,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL LSD rep4,whole larvae,whole larvae,CTRL,low sugar,missing,missing
SRR19899147,57281607,4926218202,86,1696,SRX15942050,GSM6281245,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629025,SAMN29419593,simple,7227,Drosophila melanogaster,GSM6281245,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL HSD rep1,whole larvae,whole larvae,CTRL,high sugar,missing,missing
SRR19899146,58715414,5049525604,86,1734,SRX15942051,GSM6281246,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629026,SAMN29419592,simple,7227,Drosophila melanogaster,GSM6281246,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL HSD rep2,whole larvae,whole larvae,CTRL,high sugar,missing,missing
SRR19899145,56634243,4870544898,86,1683,SRX15942052,GSM6281247,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629027,SAMN29419591,simple,7227,Drosophila melanogaster,GSM6281247,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL HSD rep3,whole larvae,whole larvae,CTRL,high sugar,missing,missing
SRR19899148,55734954,4793206044,86,1650,SRX15942053,GSM6281248,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629028,SAMN29419590,simple,7227,Drosophila melanogaster,GSM6281248,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,CTRL HSD rep4,whole larvae,whole larvae,CTRL,high sugar,missing,missing
SRR19899144,52610513,4524504118,86,1568,SRX15942054,GSM6281249,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629029,SAMN29419589,simple,7227,Drosophila melanogaster,GSM6281249,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,MUT LSD rep1,whole larvae,whole larvae,CWO,low sugar,missing,missing
SRR19899143,59989620,5159107320,86,1785,SRX15942055,GSM6281250,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384214,PRJNA854147,1,"",SRS13629030,SAMN29419588,simple,7227,Drosophila melanogaster,GSM6281250,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446212,06,2023,Makar,whole larvae,MUT LSD rep2,whole larvae,whole larvae,CWO,low sugar,missing,missing
