Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,time
SRR20106168,167786892,5901649094,35,2005,SRX16141475,GSM6333413,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803500,SAMN29661006,simple,9606,Homo sapiens,GSM6333413,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/Vehicle, 3h, rep1",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR20106167,165751250,5854454271,35,1967,SRX16141476,GSM6333414,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803501,SAMN29661005,simple,9606,Homo sapiens,GSM6333414,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/Vehicle, 3h, rep2",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR20106166,175658401,6177548746,35,2036,SRX16141477,GSM6333415,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803502,SAMN29661004,simple,9606,Homo sapiens,GSM6333415,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/Vehicle, 3h, rep3",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR20106165,102449120,3603610226,35,1178,SRX16141478,GSM6333416,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803503,SAMN29661003,simple,9606,Homo sapiens,GSM6333416,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/Vehicle, 3h, rep4",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR20106164,164056434,5789863066,35,1890,SRX16141479,GSM6333417,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803504,SAMN29661002,simple,9606,Homo sapiens,GSM6333417,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/Vehicle, 3h, rep5",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR20106163,167038519,5893665893,35,1959,SRX16141480,GSM6333418,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803505,SAMN29661001,simple,9606,Homo sapiens,GSM6333418,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPS, 3h, rep1",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR20106162,156585165,5535521326,35,1842,SRX16141481,GSM6333419,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803506,SAMN29661000,simple,9606,Homo sapiens,GSM6333419,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPS, 3h, rep2",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR20106161,163268802,5764144838,35,1931,SRX16141482,GSM6333420,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803507,SAMN29660999,simple,9606,Homo sapiens,GSM6333420,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPS, 3h, rep3",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR20106160,184517112,6498475416,35,2161,SRX16141483,GSM6333421,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803508,SAMN29660998,simple,9606,Homo sapiens,GSM6333421,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPS, 3h, rep4",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR20106159,182090437,6431046519,35,2133,SRX16141484,GSM6333422,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803509,SAMN29660997,simple,9606,Homo sapiens,GSM6333422,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPS, 3h, rep5",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
