Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,Sex,cell type,genotype,treatment
SRR20694008,46875979,6850676341,73,2810,SRX16715773,GSM6411857,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345911,SAMN30024404,simple,10090,Mus musculus,GSM6411857,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male fentanyl biol rep 1,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20694007,37952001,5538337896,72,2282,SRX16715774,GSM6411858,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345912,SAMN30024403,simple,10090,Mus musculus,GSM6411858,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male fentanyl biol rep 2,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20694006,42556529,6216521355,73,2569,SRX16715775,GSM6411859,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345913,SAMN30024402,simple,10090,Mus musculus,GSM6411859,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male fentanyl biol rep 3,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20694005,41645999,6054579882,72,2482,SRX16715776,GSM6411860,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345914,SAMN30024401,simple,10090,Mus musculus,GSM6411860,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male fentanyl biol rep 4,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20694004,40905103,5968070730,72,2445,SRX16715777,GSM6411861,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345915,SAMN30024400,simple,10090,Mus musculus,GSM6411861,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male fentanyl biol rep 5,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20694003,37363468,5433847106,72,2231,SRX16715778,GSM6411862,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345916,SAMN30024399,simple,10090,Mus musculus,GSM6411862,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male fentanyl biol rep 6,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,fentanyl abstinence
SRR20694002,40281627,5879440333,72,2409,SRX16715779,GSM6411863,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345917,SAMN30024398,simple,10090,Mus musculus,GSM6411863,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male water biol rep 1,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20694001,32107105,4676583201,72,1936,SRX16715780,GSM6411864,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345918,SAMN30024397,simple,10090,Mus musculus,GSM6411864,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male water biol rep 2,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20694000,44271003,6445792280,72,2599,SRX16715781,GSM6411865,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345919,SAMN30024396,simple,10090,Mus musculus,GSM6411865,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male water biol rep 3,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
SRR20693999,37560972,5461663636,72,2212,SRX16715782,GSM6411866,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP388591,PRJNA863254,1,"",SRS14345920,SAMN30024395,simple,10090,Mus musculus,GSM6411866,Institute for Genome Sciences,SRA1464310,07,2022,Makar,nucleus accumbens,D1 male water biol rep 4,nucleus accumbens,nucleus accumbens,male,Drd1 neurons,Drd1Cre x Rpl22HA,water abstinence
