Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,time,stress,treatment,geo_loc_name,collection_date
SRR20775978,25522848,7656854400,150,2523,SRX16795823,GSM6429601,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421607,SAMN30120041,simple,10090,Mus musculus,GSM6429601,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #1 (RRBS)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20775977,23819674,7145902200,150,2370,SRX16795824,GSM6429602,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421609,SAMN30120036,simple,10090,Mus musculus,GSM6429602,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #2 (RRBS)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20775976,23637413,7091223900,150,2348,SRX16795825,GSM6429603,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421608,SAMN30120031,simple,10090,Mus musculus,GSM6429603,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #3 (RRBS)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20775975,21646129,6493838700,150,2137,SRX16795826,GSM6429604,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421610,SAMN30120026,simple,10090,Mus musculus,GSM6429604,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, Sham, Vehicle, #4 (RRBS)",gastrocnemius,gastrocnemius,7 days,Sham,Vehicle,missing,missing
SRR20775974,23998331,7199499300,150,2376,SRX16795827,GSM6429605,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421611,SAMN30120022,simple,10090,Mus musculus,GSM6429605,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #1 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20775973,23015706,6904711800,150,2290,SRX16795828,GSM6429606,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421612,SAMN30120018,simple,10090,Mus musculus,GSM6429606,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #2 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20775972,20658929,6197678700,150,2046,SRX16795829,GSM6429607,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421613,SAMN30120013,simple,10090,Mus musculus,GSM6429607,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #3 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20775971,23442797,7032839100,150,2320,SRX16795830,GSM6429608,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421614,SAMN30120009,simple,10090,Mus musculus,GSM6429608,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #4 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20775970,18981162,5694348600,150,1889,SRX16795831,GSM6429609,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421615,SAMN30120005,simple,10090,Mus musculus,GSM6429609,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #5 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20775969,21168790,6350637000,150,2098,SRX16795832,GSM6429610,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421617,SAMN30120001,simple,10090,Mus musculus,GSM6429610,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Vehicle, #6 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Vehicle,missing,missing
SRR20775968,28468940,8540682000,150,2804,SRX16795833,GSM6429611,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421616,SAMN30119996,simple,10090,Mus musculus,GSM6429611,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #1 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20775967,22749111,6824733300,150,2274,SRX16795834,GSM6429612,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421618,SAMN30119991,simple,10090,Mus musculus,GSM6429612,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #2 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20775966,21674588,6502376400,150,2155,SRX16795835,GSM6429613,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421619,SAMN30119986,simple,10090,Mus musculus,GSM6429613,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #3 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20775965,23674511,7102353300,150,2316,SRX16795836,GSM6429614,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421620,SAMN30119981,simple,10090,Mus musculus,GSM6429614,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #4 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20775964,21208286,6362485800,150,2069,SRX16795837,GSM6429615,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421621,SAMN30119977,simple,10090,Mus musculus,GSM6429615,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #5 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20775963,19447287,5834186100,150,1930,SRX16795838,GSM6429616,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421622,SAMN30119973,simple,10090,Mus musculus,GSM6429616,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"7day, SCI, Boldine, #6 (RRBS)",gastrocnemius,gastrocnemius,7 days,SCI,Boldine,missing,missing
SRR20775962,27578432,8273529600,150,2676,SRX16795839,GSM6429617,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421623,SAMN30119968,simple,10090,Mus musculus,GSM6429617,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, Sham, Vehicle, #1 (RRBS)",gastrocnemius,gastrocnemius,28 days,Sham,Vehicle,missing,missing
SRR20775961,24376017,7312805100,150,2406,SRX16795840,GSM6429618,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421624,SAMN30119964,simple,10090,Mus musculus,GSM6429618,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, Sham, Vehicle, #2 (RRBS)",gastrocnemius,gastrocnemius,28 days,Sham,Vehicle,missing,missing
SRR20775960,23405481,7021644300,150,2274,SRX16795841,GSM6429619,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421625,SAMN30119960,simple,10090,Mus musculus,GSM6429619,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, Sham, Vehicle, #3 (RRBS)",gastrocnemius,gastrocnemius,28 days,Sham,Vehicle,missing,missing
SRR20775959,22368893,6710667900,150,2205,SRX16795842,GSM6429620,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421626,SAMN30119956,simple,10090,Mus musculus,GSM6429620,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, Sham, Vehicle, #4 (RRBS)",gastrocnemius,gastrocnemius,28 days,Sham,Vehicle,missing,missing
SRR20775958,24714716,7414414800,150,2396,SRX16795843,GSM6429621,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421627,SAMN30119952,simple,10090,Mus musculus,GSM6429621,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, SCI, Vehicle, #1 (RRBS)",gastrocnemius,gastrocnemius,28 days,SCI,Vehicle,missing,missing
SRR20775957,27281188,8184356400,150,2652,SRX16795844,GSM6429622,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421628,SAMN30119948,simple,10090,Mus musculus,GSM6429622,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, SCI, Vehicle, #2 (RRBS)",gastrocnemius,gastrocnemius,28 days,SCI,Vehicle,missing,missing
SRR20775956,22981030,6894309000,150,2224,SRX16795845,GSM6429623,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421629,SAMN30119943,simple,10090,Mus musculus,GSM6429623,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, SCI, Vehicle, #3 (RRBS)",gastrocnemius,gastrocnemius,28 days,SCI,Vehicle,missing,missing
SRR20775955,26081636,7824490800,150,2536,SRX16795846,GSM6429624,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421630,SAMN30119938,simple,10090,Mus musculus,GSM6429624,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, SCI, Vehicle, #4 (RRBS)",gastrocnemius,gastrocnemius,28 days,SCI,Vehicle,missing,missing
SRR20775954,18478526,5543557800,150,1811,SRX16795847,GSM6429625,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421632,SAMN30119933,simple,10090,Mus musculus,GSM6429625,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, SCI, Boldine #6 (RRBS)",gastrocnemius,gastrocnemius,28 days,SCI,Boldine,missing,missing
SRR20775953,22253249,6675974700,150,2156,SRX16795848,GSM6429626,Bisulfite-Seq,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP389612,PRJNA865560,37125768,"",SRS14421631,SAMN30119927,simple,10090,Mus musculus,GSM6429626,"Dr. Adam Wende, Pathology, UAB",SRA1468299,07,2023,Potter,gastrocnemius,"28day, SCI, Vehicle, #5 (RRBS)",gastrocnemius,gastrocnemius,28 days,SCI,Vehicle,missing,missing
