Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,fraction,antibody
SRR21102206,139450142,13945014200,100,6198,SRX17115748,GSM6470169,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689925,SAMN30370421,simple,9606,Homo sapiens,GSM6470169,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_40S_IPC,HeLa,HeLa,GFP,40S,PRRC2C
SRR21102205,150854566,15085456600,100,6701,SRX17115749,GSM6470170,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689926,SAMN30370420,simple,9606,Homo sapiens,GSM6470170,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_40S_siABC,HeLa,HeLa,PRRC2A + PRRC2B + PRRC2C,40S,-
SRR21102204,125274443,12527444300,100,5768,SRX17115750,GSM6470171,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689927,SAMN30370419,simple,9606,Homo sapiens,GSM6470171,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_40S_siGFP,HeLa,HeLa,GFP,40S,-
SRR21102203,78742258,4015855158,51,1780,SRX17115751,GSM6470172,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689928,SAMN30370418,simple,9606,Homo sapiens,GSM6470172,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_80S_IPC,HeLa,HeLa,GFP,80S,PRRC2C
SRR21102202,130071279,6633635229,51,2887,SRX17115752,GSM6470173,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689929,SAMN30370417,simple,9606,Homo sapiens,GSM6470173,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_80S_siABC,HeLa,HeLa,PRRC2A + PRRC2B + PRRC2C,80S,-
SRR21102201,112414841,5733156891,51,2509,SRX17115753,GSM6470174,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689930,SAMN30370416,simple,9606,Homo sapiens,GSM6470174,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_80S_siGFP,HeLa,HeLa,GFP,80S,-
SRR21102200,9076209,462886659,51,208,SRX17115754,GSM6470175,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689931,SAMN30370415,simple,9606,Homo sapiens,GSM6470175,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_RNS_siABC,HeLa,HeLa,PRRC2A + PRRC2B + PRRC2C,Total RNA,-
SRR21102199,5124391,261343941,51,117,SRX17115755,GSM6470176,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689932,SAMN30370414,simple,9606,Homo sapiens,GSM6470176,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R1_RNS_siGFP,HeLa,HeLa,GFP,Total RNA,-
SRR21102198,113009156,12996052940,115,5519,SRX17115756,GSM6470177,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689933,SAMN30370413,simple,9606,Homo sapiens,GSM6470177,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R2_40S_IPC,HeLa,HeLa,GFP,40S,PRRC2C
SRR21102197,94914581,10915176815,115,4644,SRX17115757,GSM6470178,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP392653,PRJNA870413,36869665,"",SRS14689934,SAMN30370412,simple,9606,Homo sapiens,GSM6470178,"AG Teleman, B140, DKFZ",SRA1519790,02,2023,Bohlen,HeLa,R2_40S_siABC,HeLa,HeLa,PRRC2A + PRRC2B + PRRC2C,40S,-
