Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,ip antibody,genotype,treatment,geo_loc_name,collection_date,cell type
SRR21743131,57256496,1953182862,34,804,SRX17738663,GSM6605204,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267533,SAMN31076957,simple,6239,Caenorhabditis elegans,GSM6605204,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1-IP(Cele)_A, Ribo-seq",whole organism,whole organism,NA,FLAG M2,3x-FLAG-GCN-1,NA,missing,missing,
SRR21743132,53439195,1836561763,34,825,SRX17738663,GSM6605204,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267533,SAMN31076957,simple,6239,Caenorhabditis elegans,GSM6605204,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1-IP(Cele)_A, Ribo-seq",whole organism,whole organism,NA,FLAG M2,3x-FLAG-GCN-1,NA,missing,missing,
SRR21743129,27645651,952113052,34,391,SRX17738664,GSM6605205,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267534,SAMN31076956,simple,6239,Caenorhabditis elegans,GSM6605205,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1-IP(Cele)_B, Ribo-seq",whole organism,whole organism,NA,Input (Cele),3x-FLAG-GCN-1,NA,missing,missing,
SRR21743130,25726946,892909229,34,401,SRX17738664,GSM6605205,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267534,SAMN31076956,simple,6239,Caenorhabditis elegans,GSM6605205,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1-IP(Cele)_B, Ribo-seq",whole organism,whole organism,NA,Input (Cele),3x-FLAG-GCN-1,NA,missing,missing,
SRR21743127,52987500,1839363174,34,728,SRX17738665,GSM6605206,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267535,SAMN31076955,simple,6239,Caenorhabditis elegans,GSM6605206,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Input(Cele)_A, Ribo-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743128,156856247,5458171418,34,2372,SRX17738665,GSM6605206,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267535,SAMN31076955,simple,6239,Caenorhabditis elegans,GSM6605206,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Input(Cele)_A, Ribo-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743125,37515621,1297715776,34,515,SRX17738666,GSM6605207,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267536,SAMN31076954,simple,6239,Caenorhabditis elegans,GSM6605207,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Input(Cele)_B, Ribo-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743126,110693354,3835666743,34,1676,SRX17738666,GSM6605207,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267536,SAMN31076954,simple,6239,Caenorhabditis elegans,GSM6605207,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Input(Cele)_B, Ribo-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743124,153688894,5481239192,35,2488,SRX17738667,GSM6605208,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267537,SAMN31076953,simple,6239,Caenorhabditis elegans,GSM6605208,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D0_A, Ribo-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743123,67699914,2398883005,35,1097,SRX17738668,GSM6605209,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267538,SAMN31076952,simple,6239,Caenorhabditis elegans,GSM6605209,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D0_B, Ribo-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
