Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,treatment
SRR21871263,36639523,1868615673,51,589,SRX17858371,GSM6631676,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379380,SAMN31251242,simple,10090,Mus musculus,GSM6631676,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, DMSO, RP, Rep1",Brain,Brain,GTML,Human MYCN overexpressed,Control
SRR21871262,23393329,1193059779,51,380,SRX17858372,GSM6631677,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379381,SAMN31251241,simple,10090,Mus musculus,GSM6631677,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, DMSO, RP, Rep2",Brain,Brain,GTML,Human MYCN overexpressed,Control
SRR21871261,30070504,1533595704,51,483,SRX17858373,GSM6631678,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379382,SAMN31251240,simple,10090,Mus musculus,GSM6631678,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, DMSO, RP, Rep3",Brain,Brain,GTML,Human MYCN overexpressed,Control
SRR21871260,43044359,2195262309,51,690,SRX17858374,GSM6631679,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379383,SAMN31251239,simple,10090,Mus musculus,GSM6631679,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapalink1, RP, Rep1",Brain,Brain,GTML,Human MYCN overexpressed,Rapalink-1 (50nM)
SRR21871259,32403943,1652601093,51,522,SRX17858375,GSM6631680,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379384,SAMN31251238,simple,10090,Mus musculus,GSM6631680,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapalink1, RP, Rep2",Brain,Brain,GTML,Human MYCN overexpressed,Rapalink-1 (50nM)
SRR21871258,32499547,1657476897,51,520,SRX17858376,GSM6631681,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379385,SAMN31251237,simple,10090,Mus musculus,GSM6631681,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapalink1, RP, Rep3",Brain,Brain,GTML,Human MYCN overexpressed,Rapalink-1 (50nM)
SRR21871257,31783734,1620970434,51,503,SRX17858377,GSM6631682,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379386,SAMN31251236,simple,10090,Mus musculus,GSM6631682,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapamycin, RP, Rep1",Brain,Brain,GTML,Human MYCN overexpressed,Rapamycin (5 nM)
SRR21871256,28795380,1468564380,51,457,SRX17858378,GSM6631683,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379387,SAMN31251235,simple,10090,Mus musculus,GSM6631683,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapamycin, RP, Rep2",Brain,Brain,GTML,Human MYCN overexpressed,Rapamycin (5 nM)
SRR21871255,36075879,1839869829,51,577,SRX17858379,GSM6631684,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379388,SAMN31251234,simple,10090,Mus musculus,GSM6631684,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapamycin, RP, Rep3",Brain,Brain,GTML,Human MYCN overexpressed,Rapamycin (5 nM)
SRR21871254,29678867,1513622217,51,484,SRX17858380,GSM6631685,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379389,SAMN31251233,simple,10090,Mus musculus,GSM6631685,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, DMSO, RNA, Rep1",Brain,Brain,GTML,Human MYCN overexpressed,Control
SRR21871253,30887029,1575238479,51,502,SRX17858381,GSM6631686,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379390,SAMN31251232,simple,10090,Mus musculus,GSM6631686,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, DMSO, RNA, Rep2",Brain,Brain,GTML,Human MYCN overexpressed,Control
SRR21871252,36630596,1868160396,51,599,SRX17858382,GSM6631687,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379391,SAMN31251231,simple,10090,Mus musculus,GSM6631687,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, DMSO, RNA, Rep3",Brain,Brain,GTML,Human MYCN overexpressed,Control
SRR21871251,35461176,1808519976,51,579,SRX17858383,GSM6631688,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379392,SAMN31251230,simple,10090,Mus musculus,GSM6631688,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapalink, RNA, Rep1",Brain,Brain,GTML,Human MYCN overexpressed,Rapalink-1 (50nM)
SRR21871250,33624691,1714859241,51,551,SRX17858384,GSM6631689,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379393,SAMN31251229,simple,10090,Mus musculus,GSM6631689,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapalink, RNA, Rep2",Brain,Brain,GTML,Human MYCN overexpressed,Rapalink-1 (50nM)
SRR21871249,33087703,1687472853,51,540,SRX17858385,GSM6631690,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379394,SAMN31251228,simple,10090,Mus musculus,GSM6631690,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapalink, RNA, Rep3",Brain,Brain,GTML,Human MYCN overexpressed,Rapalink-1 (50nM)
SRR21871248,26558825,1354500075,51,431,SRX17858386,GSM6631691,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379395,SAMN31251227,simple,10090,Mus musculus,GSM6631691,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapamycin, RNA, Rep1",Brain,Brain,GTML,Human MYCN overexpressed,Rapamycin (5 nM)
SRR21871247,34123700,1740308700,51,548,SRX17858387,GSM6631692,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379396,SAMN31251226,simple,10090,Mus musculus,GSM6631692,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapamycin, RNA, Rep2",Brain,Brain,GTML,Human MYCN overexpressed,Rapamycin (5 nM)
SRR21871246,26757381,1364626431,51,430,SRX17858388,GSM6631693,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP402122,PRJNA889730,1,"",SRS15379397,SAMN31251225,simple,10090,Mus musculus,GSM6631693,UCSF,SRA1518748,10,2022,Makar,Brain,"GTML, Rapamycin, RNA, Rep3",Brain,Brain,GTML,Human MYCN overexpressed,Rapamycin (5 nM)
