Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,age,geo_loc_name,tissue,biomaterial_provider,sample_type,treatment,BioSampleModel
SRR21942411,32470887,1068257266,32,1059,SRX17926238,Sample 11,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444076,SAMN31328147,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-et-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A11,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942410,48104924,7215738600,150,4734,SRX17926239,Sample 2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444078,SAMN31328138,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-air-In-replicate 2,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A2,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942409,48164166,7224624900,150,4771,SRX17926240,Sample 1,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444077,SAMN31328137,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-air-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A1,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942408,25468069,662702018,26,738,SRX17926241,Sample 24,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444079,SAMN31328160,simple,39947,Oryza sativa Japonica Group,Ribo-8h-mhz9-et-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A24,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942407,24009116,645287380,26,713,SRX17926242,Sample 23,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444080,SAMN31328159,simple,39947,Oryza sativa Japonica Group,Ribo-8h-mhz9-air-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A23,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942406,36197273,1182273661,32,1153,SRX17926243,Sample 22,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444081,SAMN31328158,simple,39947,Oryza sativa Japonica Group,Ribo-8h-WT-et-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A22,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942405,28981138,844919973,29,888,SRX17926244,Sample 21,OTHER,RANDOM,OTHER,SINGLE,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444083,SAMN31328157,simple,39947,Oryza sativa Japonica Group,Ribo-8h-WT-air-Ribo-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A21,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942404,48163254,7224488100,150,4771,SRX17926245,Sample 3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444082,SAMN31328139,simple,39947,Oryza sativa Japonica Group,Ribo-4h-WT-et-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A3,Dark-grown seedling,air or 10 μL/L of ethylene for 4 h,Plant
SRR21942403,63407110,6340711000,100,3618,SRX17926246,Sample 20,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444084,SAMN31328156,simple,39947,Oryza sativa Japonica Group,Ribo-8h-mhz9-et-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A20,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942402,63652264,6365226400,100,3606,SRX17926247,Sample 19,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444085,SAMN31328155,simple,39947,Oryza sativa Japonica Group,Ribo-8h-mhz9-air-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A19,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942401,63637384,6363738400,100,3644,SRX17926248,Sample 18,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444086,SAMN31328154,simple,39947,Oryza sativa Japonica Group,Ribo-8h-WT-et-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A18,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
SRR21942400,63646184,6364618400,100,3603,SRX17926249,Sample 17,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,MGISEQ-2000RS,SRP403146,PRJNA891450,1,"",SRS15444087,SAMN31328153,simple,39947,Oryza sativa Japonica Group,Ribo-8h-WT-air-In-replicate 1,Chinese Academy of Sciences,SRA1522356,07,2023,Makar,"","",Nipponbare,2-day,China,Total,A17,Dark-grown seedling,air or 10 μL/L of ethylene for 8 h,Plant
