Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,treatment
SRR22197716,49196359,7379453850,75,2984,SRX18176008,GSM6715988,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675179,SAMN31612665,simple,10090,Mus musculus,GSM6715988,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1117 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197717,49467467,7420120050,75,2982,SRX18176008,GSM6715988,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675179,SAMN31612665,simple,10090,Mus musculus,GSM6715988,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1117 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197714,37765044,5664756600,75,2335,SRX18176009,GSM6715989,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675180,SAMN31612664,simple,10090,Mus musculus,GSM6715989,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1277 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197715,37972254,5695838100,75,2333,SRX18176009,GSM6715989,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675180,SAMN31612664,simple,10090,Mus musculus,GSM6715989,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1277 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197712,36988772,5548315800,75,2248,SRX18176010,GSM6715990,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675181,SAMN31612663,simple,10090,Mus musculus,GSM6715990,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1288 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197713,37211317,5581697550,75,2247,SRX18176010,GSM6715990,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675181,SAMN31612663,simple,10090,Mus musculus,GSM6715990,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1288 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197710,29871436,4480715400,75,1842,SRX18176011,GSM6715991,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675182,SAMN31612662,simple,10090,Mus musculus,GSM6715991,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1290 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197711,30114172,4517125800,75,1847,SRX18176011,GSM6715991,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675182,SAMN31612662,simple,10090,Mus musculus,GSM6715991,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1290 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197708,39550432,5932564800,75,2418,SRX18176012,GSM6715992,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675183,SAMN31612661,simple,10090,Mus musculus,GSM6715992,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1291 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197709,39808264,5971239600,75,2420,SRX18176012,GSM6715992,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675183,SAMN31612661,simple,10090,Mus musculus,GSM6715992,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,Control fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1291 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197706,33611803,5041770450,75,2058,SRX18176013,GSM6715993,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675184,SAMN31612660,simple,10090,Mus musculus,GSM6715993,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1322 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197707,33950002,5092500300,75,2065,SRX18176013,GSM6715993,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675184,SAMN31612660,simple,10090,Mus musculus,GSM6715993,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1322 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197704,38195976,5729396400,75,2385,SRX18176014,GSM6715994,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675185,SAMN31612659,simple,10090,Mus musculus,GSM6715994,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1323 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,10% kCal from fat diet
SRR22197705,38464546,5769681900,75,2387,SRX18176014,GSM6715994,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675185,SAMN31612659,simple,10090,Mus musculus,GSM6715994,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1323 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197702,37409260,5611389000,75,2307,SRX18176015,GSM6715995,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675186,SAMN31612658,simple,10090,Mus musculus,GSM6715995,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1325 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
SRR22197703,37631071,5644660650,75,2307,SRX18176015,GSM6715995,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406387,PRJNA898430,36543124,"",SRS15675186,SAMN31612658,simple,10090,Mus musculus,GSM6715995,"Hinman Lab, Neurology, UCLA",SRA1535005,11,2022,Xiao,brain white matter,High fat diet PDGFRa-Cre-ERT2:RiboTAG pulldown Sample 1325 IP,brain white matter,brain white matter,PDGFRa-CreERT2:Rpl22-HA,60% kCal from fat diet
