Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,geo_loc_name,collection_date
SRR22356470,45744403,3019130598,66,1009,SRX18327357,GSM6744613,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816613,SAMN31814865,simple,9606,Homo sapiens,GSM6744613,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_16h_rep1",HCT116,HCT116,DDX3X_Degron_16h,missing,missing
SRR22356469,11320974,747184284,66,272,SRX18327358,GSM6744614,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816617,SAMN31814864,simple,9606,Homo sapiens,GSM6744614,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_16h_rep1",HCT116,HCT116,DDX3X_Degron_16h,missing,missing
SRR22356468,59759840,3944149440,66,1310,SRX18327359,GSM6744615,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816614,SAMN31814863,simple,9606,Homo sapiens,GSM6744615,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_16h_rep2",HCT116,HCT116,DDX3X_Degron_16h,missing,missing
SRR22356467,11184620,738184920,66,264,SRX18327360,GSM6744616,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816615,SAMN31814862,simple,9606,Homo sapiens,GSM6744616,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_16h_rep2",HCT116,HCT116,DDX3X_Degron_16h,missing,missing
SRR22356466,34622088,2285057808,66,769,SRX18327361,GSM6744617,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816616,SAMN31814861,simple,9606,Homo sapiens,GSM6744617,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_24h_rep1",HCT116,HCT116,DDX3X_Degron_24h,missing,missing
SRR22356465,12251536,808601376,66,289,SRX18327362,GSM6744618,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816618,SAMN31814860,simple,9606,Homo sapiens,GSM6744618,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_24h_rep1",HCT116,HCT116,DDX3X_Degron_24h,missing,missing
SRR22356464,49053068,3237502488,66,1078,SRX18327363,GSM6744619,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816619,SAMN31814859,simple,9606,Homo sapiens,GSM6744619,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_24h_rep2",HCT116,HCT116,DDX3X_Degron_24h,missing,missing
SRR22356463,13780681,909524946,66,329,SRX18327364,GSM6744620,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816620,SAMN31814858,simple,9606,Homo sapiens,GSM6744620,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_24h_rep2",HCT116,HCT116,DDX3X_Degron_24h,missing,missing
SRR22356462,74840933,4939501578,66,1663,SRX18327365,GSM6744621,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816621,SAMN31814857,simple,9606,Homo sapiens,GSM6744621,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_48h_rep1",HCT116,HCT116,DDX3X_Degron_48h,missing,missing
SRR22356461,11724669,773828154,66,276,SRX18327366,GSM6744622,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816622,SAMN31814856,simple,9606,Homo sapiens,GSM6744622,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_48h_rep1",HCT116,HCT116,DDX3X_Degron_48h,missing,missing
SRR22356460,63441188,4187118408,66,1394,SRX18327367,GSM6744623,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816624,SAMN31814855,simple,9606,Homo sapiens,GSM6744623,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_48h_rep2",HCT116,HCT116,DDX3X_Degron_48h,missing,missing
SRR22356459,10966544,723791904,66,264,SRX18327368,GSM6744624,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816623,SAMN31814854,simple,9606,Homo sapiens,GSM6744624,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, RNA_48h_rep2",HCT116,HCT116,DDX3X_Degron_48h,missing,missing
SRR22356458,41291614,2725246524,66,909,SRX18327369,GSM6744625,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP408923,PRJNA903814,37214951,"",SRS15816625,SAMN31814853,simple,9606,Homo sapiens,GSM6744625,"Berlin Institute for Medical Systems Biology, Max Delbrueck Center for Molecular Medicine",SRA1544368,08,2023,Jowhar,HCT116,"HCT116 cells, Ribo_04h_rep1",HCT116,HCT116,DDX3X_Degron_04h,missing,missing
