Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment
SRR23190705,21579194,1078959700,50,543,SRX19141019,GSM6956682,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553800,SAMN32874455,simple,4932,Saccharomyces cerevisiae,GSM6956682,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 25°C [rpf_ts_25_1]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,25degreeC for 1 hour
SRR23190704,21477367,1073868350,50,540,SRX19141020,GSM6956683,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553801,SAMN32874454,simple,4932,Saccharomyces cerevisiae,GSM6956683,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 25°C [rpf_ts_25_2]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,25degreeC for 1 hour
SRR23190703,19012888,950644400,50,483,SRX19141021,GSM6956684,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553802,SAMN32874453,simple,4932,Saccharomyces cerevisiae,GSM6956684,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 37°C [rpf_ts_37_1]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,37degreeC for 1 hour
SRR23190702,18610303,930515150,50,470,SRX19141022,GSM6956685,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553803,SAMN32874452,simple,4932,Saccharomyces cerevisiae,GSM6956685,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 37°C [rpf_ts_37_2]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,37degreeC for 1 hour
SRR23190701,43191042,2159552100,50,1090,SRX19141023,GSM6956686,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553804,SAMN32874451,simple,4932,Saccharomyces cerevisiae,GSM6956686,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 25°C [rpf_wt_25_1]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,25degreeC for 1 hour
SRR23190700,22325379,1116268950,50,563,SRX19141024,GSM6956687,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553805,SAMN32874450,simple,4932,Saccharomyces cerevisiae,GSM6956687,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 25°C [rpf_wt_25_2]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,25degreeC for 1 hour
SRR23190699,19951601,997580050,50,501,SRX19141025,GSM6956688,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553806,SAMN32874449,simple,4932,Saccharomyces cerevisiae,GSM6956688,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 37°C [rpf_wt_37_1]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,37degreeC for 1 hour
SRR23190698,20586920,1029346000,50,516,SRX19141026,GSM6956689,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553807,SAMN32874448,simple,4932,Saccharomyces cerevisiae,GSM6956689,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"ribosome profiling, 37°C [rpf_wt_37_2]",whole cell extract,whole cell extract,BY4741 CDC33-HIS3,37degreeC for 1 hour
SRR23190697,17978686,898934300,50,443,SRX19141027,GSM6956690,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553809,SAMN32874447,simple,4932,Saccharomyces cerevisiae,GSM6956690,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 25°C [rna_ts_25_1]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,25degreeC for 1 hour
SRR23190696,9634686,481734300,50,237,SRX19141028,GSM6956691,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP418663,PRJNA926480,1,"",SRS16553808,SAMN32874446,simple,4932,Saccharomyces cerevisiae,GSM6956691,"Biology, Washington University in St. Louis",SRA1578225,01,2023,Makar,whole cell extract,"RNA-seq, 25°C [rna_ts_25_2]",whole cell extract,whole cell extract,BY4741 cdc33-ts4-2-HIS3,25degreeC for 1 hour
