Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,genotype,time,growth condition
SRR23205040,28638309,8591492700,150,2653,SRX19153323,GSM6965683,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565265,SAMN32891217,simple,746128,Aspergillus fumigatus,GSM6965683,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,Wild-type conidia 1,Conidia,Conidia,CEA17 delta_akuB::KU80,Wild type,0 h,Aspergillus minimal media
SRR23205039,22892581,6867774300,150,2133,SRX19153324,GSM6965684,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565264,SAMN32891216,simple,746128,Aspergillus fumigatus,GSM6965684,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,Wild-type conidia 2,Conidia,Conidia,CEA17 delta_akuB::KU80,Wild type,0 h,Aspergillus minimal media
SRR23205038,29092232,8727669600,150,2692,SRX19153325,GSM6965685,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565266,SAMN32891215,simple,746128,Aspergillus fumigatus,GSM6965685,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,Wild-type conidia 3,Conidia,Conidia,CEA17 delta_akuB::KU80,Wild type,0 h,Aspergillus minimal media
SRR23205037,23192505,6957751500,150,2138,SRX19153326,GSM6965686,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565267,SAMN32891214,simple,746128,Aspergillus fumigatus,GSM6965686,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫dclA/B conidia 1,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_dclA/B,0 h,Aspergillus minimal media
SRR23205036,22296026,6688807800,150,2052,SRX19153327,GSM6965687,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565268,SAMN32891213,simple,746128,Aspergillus fumigatus,GSM6965687,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫dclA/B conidia 2,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_dclA/B,0 h,Aspergillus minimal media
SRR23205035,22205060,6661518000,150,2051,SRX19153328,GSM6965688,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565269,SAMN32891212,simple,746128,Aspergillus fumigatus,GSM6965688,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫dclA/B conidia 3,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_dclA/B,0 h,Aspergillus minimal media
SRR23205034,21927166,6578149800,150,2029,SRX19153329,GSM6965689,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565270,SAMN32891211,simple,746128,Aspergillus fumigatus,GSM6965689,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫ppdA/B conidia 1,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_ppdA/B,0 h,Aspergillus minimal media
SRR23205033,20530713,6159213900,150,1899,SRX19153330,GSM6965690,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565271,SAMN32891210,simple,746128,Aspergillus fumigatus,GSM6965690,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫ppdA/B conidia 2,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_ppdA/B,0 h,Aspergillus minimal media
SRR23205032,19913654,5974096200,150,1833,SRX19153331,GSM6965691,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565272,SAMN32891209,simple,746128,Aspergillus fumigatus,GSM6965691,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫ppdA/B conidia 3,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_ppdA/B,0 h,Aspergillus minimal media
SRR23205031,23243261,6972978300,150,2150,SRX19153332,GSM6965692,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565273,SAMN32891208,simple,746128,Aspergillus fumigatus,GSM6965692,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫rrpA/B conidia 1,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_rrpA/B,0 h,Aspergillus minimal media
SRR23205030,26903196,8070958800,150,2504,SRX19153333,GSM6965693,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565274,SAMN32891207,simple,746128,Aspergillus fumigatus,GSM6965693,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫rrpA/B conidia 2,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_rrpA/B,0 h,Aspergillus minimal media
SRR23205029,23616183,7084854900,150,2183,SRX19153334,GSM6965694,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565275,SAMN32891206,simple,746128,Aspergillus fumigatus,GSM6965694,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Conidia,𝚫rrpA/B conidia 3,Conidia,Conidia,CEA17 delta_akuB::KU80,delta_rrpA/B,0 h,Aspergillus minimal media
SRR23205028,19581537,5874461100,150,1925,SRX19153335,GSM6965695,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565276,SAMN32891205,simple,746128,Aspergillus fumigatus,GSM6965695,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Mycelium,Wild-type 24-h mycelium 1,Mycelium,Mycelium,CEA17 delta_akuB::KU80,Wild type,24 h,Aspergillus minimal media
SRR23205027,22272867,6681860100,150,2176,SRX19153336,GSM6965696,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565277,SAMN32891204,simple,746128,Aspergillus fumigatus,GSM6965696,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Mycelium,Wild-type 24-h mycelium 2,Mycelium,Mycelium,CEA17 delta_akuB::KU80,Wild type,24 h,Aspergillus minimal media
SRR23205026,19526707,5858012100,150,1890,SRX19153337,GSM6965697,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565278,SAMN32891203,simple,746128,Aspergillus fumigatus,GSM6965697,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Mycelium,Wild-type 24-h mycelium 3,Mycelium,Mycelium,CEA17 delta_akuB::KU80,Wild type,24 h,Aspergillus minimal media
SRR23205025,22084675,6625402500,150,2158,SRX19153338,GSM6965698,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418881,PRJNA926981,37019633,"",SRS16565279,SAMN32891202,simple,746128,Aspergillus fumigatus,GSM6965698,"Junior Resaerch Group RNA Biology of Fungal Infections, Leibniz Institute for Natural Product Research and Infection Biology",SRA1579366,02,2023,Kelani,Mycelium,𝚫dclA/B 24-h mycelium 1,Mycelium,Mycelium,CEA17 delta_akuB::KU80,delta_dclA/B,24 h,Aspergillus minimal media
