Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,biomaterial_provider,cell_line,sample_type,cell_lysate_batch,nuclease_digestion,cushion_gradient,rna_size_selection,library_method,UMI,cdna_size_selection,replicate,BioSampleModel
SRR23242347,214685460,29547464860,137,9462,SRX19188679,hP1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599419,SAMN32928153,simple,9606,Homo sapiens,hP1,University of California at Berkeley,SRA1580488,03,2023,Makar,"",Nuclease digestion of biological replicate 1 of 293T cell lysate with P1 nuclease,UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 1,P1 nuclease,sucrose cushion,"denaturing gel, 30 nt to 40 nt",OTTR,yes,100 nt to 120 nt,biological 1,Human
SRR23242346,148358697,19028120047,128,6001,SRX19188680,hP2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599420,SAMN32928154,simple,9606,Homo sapiens,hP2,University of California at Berkeley,SRA1580488,03,2023,Makar,"",Nuclease digestion of biological replicate 2 of 293T cell lysate with P1 nuclease,UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 2,P1 nuclease,sucrose cushion,"denaturing gel, 30 nt to 40 nt",OTTR,yes,100 nt to 120 nt,biological 2,Human
SRR23242345,151818049,15333622949,101,4721,SRX19188681,hR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599421,SAMN32928155,simple,9606,Homo sapiens,hR1,University of California at Berkeley,SRA1580488,03,2023,Makar,"",Nuclease digestion of biological replicate 1 of 293T cell lysate with RNase I,UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 1,RNase I,sucrose cushion,"denaturing gel, 25 nt to 34 nt",OTTR,yes,98 nt to 110 nt,biological 1,Human
SRR23242344,135886860,13724572860,101,4394,SRX19188682,hR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599422,SAMN32928156,simple,9606,Homo sapiens,hR2,University of California at Berkeley,SRA1580488,03,2023,Makar,"",Nuclease digestion of biological replicate 2 of 293T cell lysate with RNase I,UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 2,RNase I,sucrose cushion,"denaturing gel, 25 nt to 34 nt",OTTR,yes,98 nt to 110 nt,biological 2,Human
SRR23242343,165137714,24770657100,150,7987,SRX19188683,T293MRMonoR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599423,SAMN32928157,simple,9606,Homo sapiens,T293MRMonoR1,University of California at Berkeley,SRA1580488,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 1 of 293T cell lysate",UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 3,P1 nuclease,sucrose cushion,mirRICH enrichment,OTTR,yes,100 nt to 120 nt,biological 1,Human
SRR23242342,168476466,25271469900,150,7678,SRX19188684,T293MRMonoR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599424,SAMN32928158,simple,9606,Homo sapiens,T293MRMonoR2,University of California at Berkeley,SRA1580488,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 2 of 293T cell lysate",UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 4,P1 nuclease,sucrose cushion,mirRICH enrichment,OTTR,yes,100 nt to 120 nt,biological 2,Human
SRR23242341,76253529,11438029350,150,3716,SRX19188685,T293MRDiR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599425,SAMN32928159,simple,9606,Homo sapiens,T293MRDiR1,University of California at Berkeley,SRA1580488,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested disome-sized RPFs from a sucrose cushion pellet, biological replicate 1 of 293T cell lysate",UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 3,P1 nuclease,sucrose cushion,mirRICH enrichment,OTTR,yes,120 nt to 160 nt,biological 1,Human
SRR23242340,172968602,25945290300,150,8498,SRX19188686,T293MRDiR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599426,SAMN32928160,simple,9606,Homo sapiens,T293MRDiR2,University of California at Berkeley,SRA1580488,03,2023,Makar,"","mirRICH small RNA enrichment and cDNA size-selection of P1 nuclease digested disome-sized RPFs from a sucrose cushion pellet, biological replicate 2 of 293T cell lysate",UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 4,P1 nuclease,sucrose cushion,mirRICH enrichment,OTTR,yes,120 nt to 160 nt,biological 2,Human
SRR23242339,28168103,2844978403,101,810,SRX19188687,T293SSMonoR1,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599427,SAMN32928161,simple,9606,Homo sapiens,T293SSMonoR1,University of California at Berkeley,SRA1580488,03,2023,Makar,"","RNA size-selection and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 1 of 293T cell lysate",UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 3,P1 nuclease,sucrose cushion,"denaturing gel, 30 nt to 40 nt",OTTR,yes,100 nt to 120 nt,biological 1,Human
SRR23242338,36957780,3732735780,101,1083,SRX19188688,T293SSMonoR2,OTHER,size fractionation,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP419255,PRJNA928376,1,"",SRS16599428,SAMN32928162,simple,9606,Homo sapiens,T293SSMonoR2,University of California at Berkeley,SRA1580488,03,2023,Makar,"","RNA size-selection and cDNA size-selection of P1 nuclease digested RPFs from a sucrose cushion pellet, biological replicate 1 of 293T cell lysate",UCB Cell Culture Facility,HEK293T,Ribosome profiling of cell lysate from HEK293T cell culture,Tissue culture dish 4,P1 nuclease,sucrose cushion,"denaturing gel, 30 nt to 40 nt",OTTR,yes,100 nt to 120 nt,biological 2,Human
