Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell type,fraction,geo_loc_name,collection_date,chip antibody
SRR23363979,93595739,4679786950,50,1919,SRX19304987,GSM7031893,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704641,SAMN33193323,simple,4932,Saccharomyces cerevisiae,GSM7031893,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_ WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363978,142387662,7119383100,50,2814,SRX19304988,GSM7031894,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704643,SAMN33193322,simple,4932,Saccharomyces cerevisiae,GSM7031894,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_ WT_Replicate_2,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363977,127557447,6377872350,50,2587,SRX19304989,GSM7031895,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704644,SAMN33193321,simple,4932,Saccharomyces cerevisiae,GSM7031895,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_ WT_Replicate_3,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363976,136238170,6811908500,50,2815,SRX19304990,GSM7031896,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704642,SAMN33193320,simple,4932,Saccharomyces cerevisiae,GSM7031896,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_ pat1D _Replicate_1,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363975,104309032,5215451600,50,2131,SRX19304991,GSM7031897,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704645,SAMN33193319,simple,4932,Saccharomyces cerevisiae,GSM7031897,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_ pat1D _Replicate_2,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363974,130363573,6518178650,50,2681,SRX19304992,GSM7031898,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704646,SAMN33193318,simple,4932,Saccharomyces cerevisiae,GSM7031898,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_ pat1D _Replicate_2,Whole cells,"W303 F2181 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363973,158285561,7914278050,50,3290,SRX19304993,GSM7031899,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704647,SAMN33193317,simple,4932,Saccharomyces cerevisiae,GSM7031899,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_pat1Ddhh1D_Replicate_1,Whole cells,"W303 F2182 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3 {delta}dhh1::KanR)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363972,98243563,4912178150,50,2034,SRX19304994,GSM7031900,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704648,SAMN33193316,simple,4932,Saccharomyces cerevisiae,GSM7031900,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_pat1Ddhh1D_Replicate_2,Whole cells,"W303 F2182 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3 {delta}dhh1::KanR)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363971,117151621,5857581050,50,2417,SRX19304995,GSM7031901,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704649,SAMN33193315,simple,4932,Saccharomyces cerevisiae,GSM7031901,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,Ribo_pat1Ddhh1D_Replicate_3,Whole cells,"W303 F2182 (MATa ura3-1 trp1-1 ade2-1 leu2-3,112 his3-11,15 {delta}pat1::HIS3 {delta}dhh1::KanR)",yeast cells,Ribosome protected RNA 25-34 nt,missing,missing,
SRR23363970,122981053,6149052650,50,2688,SRX19304996,GSM7031902,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP421393,PRJNA932446,37439347,"",SRS16704650,SAMN33193314,simple,4932,Saccharomyces cerevisiae,GSM7031902,"Section on Nutrient Control of Gene Expression, Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health",SRA1721819,09,2023,Vijjamarri,Whole cells,RNA_ WT_Replicate_1,Whole cells,"W303 F2147 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100)",yeast cells,RNA,missing,missing,
