Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,fraction
SRR23563667,108592981,5429649050,50,2900,SRX19450594,GSM7054176,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843368,SAMN33391484,simple,9606,Homo sapiens,GSM7054176,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 CT-1 RF,PANC-1,PANC-1,Human pancreatic duct,Control,Ribosome protected RNA
SRR23563666,128247336,6412366800,50,3091,SRX19450595,GSM7054177,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843369,SAMN33391483,simple,9606,Homo sapiens,GSM7054177,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 CT-2 RF,PANC-1,PANC-1,Human pancreatic duct,Control,Ribosome protected RNA
SRR23563665,136621629,6831081450,50,3748,SRX19450596,GSM7054178,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843370,SAMN33391482,simple,9606,Homo sapiens,GSM7054178,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 CT-3 RF,PANC-1,PANC-1,Human pancreatic duct,Control,Ribosome protected RNA
SRR23563664,126957333,6347866650,50,3363,SRX19450597,GSM7054179,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843371,SAMN33391481,simple,9606,Homo sapiens,GSM7054179,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 RAPA-1 RF,PANC-1,PANC-1,Human pancreatic duct,Rapamycin treated,Ribosome protected RNA
SRR23563663,92797251,4639862550,50,2430,SRX19450598,GSM7054180,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843372,SAMN33391480,simple,9606,Homo sapiens,GSM7054180,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 RAPA-2 RF,PANC-1,PANC-1,Human pancreatic duct,Rapamycin treated,Ribosome protected RNA
SRR23563662,97164691,4858234550,50,2451,SRX19450599,GSM7054181,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843373,SAMN33391479,simple,9606,Homo sapiens,GSM7054181,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 RAPA-3 RF,PANC-1,PANC-1,Human pancreatic duct,Rapamycin treated,Ribosome protected RNA
SRR23563661,181167981,18116798100,50,10857,SRX19450600,GSM7054182,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843374,SAMN33391478,simple,9606,Homo sapiens,GSM7054182,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 CT-1 RNA,PANC-1,PANC-1,Human pancreatic duct,Control,Total RNA
SRR23563660,173691001,17369100100,50,10352,SRX19450601,GSM7054183,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843375,SAMN33391477,simple,9606,Homo sapiens,GSM7054183,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 CT-2 RNA,PANC-1,PANC-1,Human pancreatic duct,Control,Total RNA
SRR23563659,189907915,18990791500,50,11373,SRX19450602,GSM7054184,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843376,SAMN33391476,simple,9606,Homo sapiens,GSM7054184,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 CT-3 RNA,PANC-1,PANC-1,Human pancreatic duct,Control,Total RNA
SRR23563658,180411907,18041190700,50,10815,SRX19450603,GSM7054185,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843377,SAMN33391475,simple,9606,Homo sapiens,GSM7054185,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 RAPA-1 RNA,PANC-1,PANC-1,Human pancreatic duct,Rapamycin treated,Total RNA
SRR23563657,168713751,16871375100,50,10107,SRX19450604,GSM7054186,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843378,SAMN33391474,simple,9606,Homo sapiens,GSM7054186,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 RAPA-2 RNA,PANC-1,PANC-1,Human pancreatic duct,Rapamycin treated,Total RNA
SRR23563656,174176291,17417629100,50,10507,SRX19450605,GSM7054187,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP423678,PRJNA937159,36900235,"",SRS16843379,SAMN33391473,simple,9606,Homo sapiens,GSM7054187,"Kamini Singh, Molecular Pharmacology, Albert Einstein College of Medicine",SRA1593440,02,2023,Nguyen,PANC-1,PANC1 RAPA-3 RNA,PANC-1,PANC-1,Human pancreatic duct,Rapamycin treated,Total RNA
