Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,fraction,agent,geo_loc_name,collection_date
SRR23891378,54205563,2764483713,51,916,SRX19703181,GSM7103604,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071758,SAMN33798201,simple,5476,Candida albicans,GSM7103604,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-ribo-1,fungal cells,fungal cells,ribo,Fluconazole,missing,missing
SRR23891377,63027985,3540074599,56,1240,SRX19703182,GSM7103605,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071756,SAMN33798200,simple,5476,Candida albicans,GSM7103605,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-ribo-2,fungal cells,fungal cells,ribo,Fluconazole,missing,missing
SRR23891376,245228158,13758345412,56,4610,SRX19703183,GSM7103606,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071757,SAMN33798199,simple,5476,Candida albicans,GSM7103606,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-ribo-3,fungal cells,fungal cells,ribo,Fluconazole,missing,missing
SRR23891375,189368612,9657799212,51,3342,SRX19703184,GSM7103607,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071759,SAMN33798198,simple,5476,Candida albicans,GSM7103607,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-ribo-4,fungal cells,fungal cells,ribo,Fluconazole,missing,missing
SRR23891374,54033607,2755713957,51,919,SRX19703185,GSM7103608,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071760,SAMN33798197,simple,5476,Candida albicans,GSM7103608,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-rna-1,fungal cells,fungal cells,total RNA,Fluconazole,missing,missing
SRR23891373,29365387,1613558307,54,564,SRX19703186,GSM7103609,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071761,SAMN33798196,simple,5476,Candida albicans,GSM7103609,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-rna-2,fungal cells,fungal cells,total RNA,Fluconazole,missing,missing
SRR23891372,39560534,2329322224,58,808,SRX19703187,GSM7103610,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071762,SAMN33798195,simple,5476,Candida albicans,GSM7103610,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-rna-3,fungal cells,fungal cells,total RNA,Fluconazole,missing,missing
SRR23891371,21793849,1111486299,51,367,SRX19703188,GSM7103611,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071764,SAMN33798194,simple,5476,Candida albicans,GSM7103611,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,fluconazole-rna-4,fungal cells,fungal cells,total RNA,Fluconazole,missing,missing
SRR23891370,40362681,2058496731,51,694,SRX19703189,GSM7103612,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071763,SAMN33798193,simple,5476,Candida albicans,GSM7103612,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,nodrug-ribo-1,fungal cells,fungal cells,ribo,none,missing,missing
SRR23891369,79802956,4549774408,57,1654,SRX19703190,GSM7103613,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP427875,PRJNA945876,1,"",SRS17071766,SAMN33798192,simple,5476,Candida albicans,GSM7103613,"Department of Microbiology, Immunology & Molecular Genetics, University of Texas Health Science Center at San Antonio",SRA1606567,08,2023,Makar,fungal cells,nodrug-ribo-2,fungal cells,fungal cells,ribo,none,missing,missing
