Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,dev_stage,sex,tissue,cell_line,cell_type,genotype,replicate,BioSampleModel
SRR24044810,50841000,5134941000,101,1412,SRX19846724,RPL39l_WT_1_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205633,SAMN34044619,simple,10090,Mus musculus,RPL39l_WT_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,WT,WT_1,Model organism or animal
SRR24044809,46959129,4742872029,101,1303,SRX19846725,RPL39l_WT_2_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205634,SAMN34044620,simple,10090,Mus musculus,RPL39l_WT_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,WT,WT_2,Model organism or animal
SRR24044808,54818023,5536620323,101,1521,SRX19846726,RPL39l_2_9_2_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205635,SAMN34044629,simple,10090,Mus musculus,RPL39l_2_9_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_9_2,Model organism or animal
SRR24044807,55707134,5626420534,101,1542,SRX19846727,RPL39l_2_9_3_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205636,SAMN34044630,simple,10090,Mus musculus,RPL39l_2_9_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_9_3,Model organism or animal
SRR24044806,41764375,4218201875,101,1160,SRX19846728,RPL39l_2_11_1_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205639,SAMN34044631,simple,10090,Mus musculus,RPL39l_2_11_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_11_1,Model organism or animal
SRR24044805,53650512,5418701712,101,1484,SRX19846729,RPL39l_2_11_2_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205638,SAMN34044632,simple,10090,Mus musculus,RPL39l_2_11_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_11_2,Model organism or animal
SRR24044804,48215503,4869765803,101,1338,SRX19846730,RPL39l_2_11_3_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205637,SAMN34044633,simple,10090,Mus musculus,RPL39l_2_11_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,2_11_3,Model organism or animal
SRR24044803,66687716,5068266416,76,2195,SRX19846731,RPL39l_WT_1_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205633,SAMN34044619,simple,10090,Mus musculus,RPL39l_WT_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,WT,WT_1,Model organism or animal
SRR24044802,59947723,4556026948,76,1970,SRX19846732,RPL39l_WT_2_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205634,SAMN34044620,simple,10090,Mus musculus,RPL39l_WT_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,WT,WT_2,Model organism or animal
SRR24044801,64948737,4936104012,76,2136,SRX19846733,RPL39l_WT_3_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205640,SAMN34044621,simple,10090,Mus musculus,RPL39l_WT_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,WT,WT_3,Model organism or animal
SRR24044800,72005138,5472390488,76,2363,SRX19846734,RPL39l_1_17_1_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205641,SAMN34044622,simple,10090,Mus musculus,RPL39l_1_17_1,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_17_1,Model organism or animal
SRR24044799,68612057,5214516332,76,2254,SRX19846735,RPL39l_1_17_2_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205642,SAMN34044623,simple,10090,Mus musculus,RPL39l_1_17_2,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_17_2,Model organism or animal
SRR24044798,54504073,5504911373,101,1514,SRX19846736,RPL39l_WT_3_RNASEQ,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP430560,PRJNA951511,1,"",SRS17205640,SAMN34044621,simple,10090,Mus musculus,RPL39l_WT_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,WT,WT_3,Model organism or animal
SRR24044797,68907342,5236957992,76,2261,SRX19846737,RPL39l_1_17_3_RIBOSEQ,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP430560,PRJNA951511,1,"",SRS17205644,SAMN34044624,simple,10090,Mus musculus,RPL39l_1_17_3,University of Basel,SRA1614574,04,2023,Makar,"","",12910la,embryonic stem cells,male,inner-cell mass,E14,embryonic stem cell,delta_RPL39L,1_17_3,Model organism or animal
