Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,developmental stage,female mice donor genotype,geo_loc_name,collection_date
SRR24207638,32361765,3236176500,100,1195,SRX20004178,GSM7183971,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348749,SAMN34239078,simple,10090,Mus musculus,GSM7183971,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,M2 eggs,M2_Het_Ribo1,M2 eggs,M2 eggs,B6D2F1,M2,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207637,30213167,3021316700,100,1155,SRX20004179,GSM7183972,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348751,SAMN34239077,simple,10090,Mus musculus,GSM7183972,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,M2 eggs,M2_Het_Ribo2,M2 eggs,M2 eggs,B6D2F1,M2,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207634,32060163,3206016300,100,1145,SRX20004180,GSM7183973,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348748,SAMN34239076,simple,10090,Mus musculus,GSM7183973,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,M2 eggs,M2_KO_Ribo1,M2 eggs,M2 eggs,B6D2F1,M2,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207633,31593033,3159303300,100,1157,SRX20004181,GSM7183974,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348752,SAMN34239075,simple,10090,Mus musculus,GSM7183974,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,M2 eggs,M2_KO_Ribo2,M2 eggs,M2 eggs,B6D2F1,M2,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207635,31660021,3166002100,100,1158,SRX20004182,GSM7183975,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348750,SAMN34239074,simple,10090,Mus musculus,GSM7183975,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,PN5 zygotes,PN5_Het_Ribo1,PN5 zygotes,PN5 zygotes,B6D2F1,PN5,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207632,29106643,2910664300,100,1059,SRX20004183,GSM7183976,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348753,SAMN34239073,simple,10090,Mus musculus,GSM7183976,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,PN5 zygotes,PN5_Het_Ribo2,PN5 zygotes,PN5 zygotes,B6D2F1,PN5,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207636,33315051,3331505100,100,1183,SRX20004184,GSM7183977,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348754,SAMN34239072,simple,10090,Mus musculus,GSM7183977,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,PN5 zygotes,PN5_KO_Ribo1,PN5 zygotes,PN5 zygotes,B6D2F1,PN5,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207631,31143902,3114390200,100,1121,SRX20004185,GSM7183978,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348755,SAMN34239071,simple,10090,Mus musculus,GSM7183978,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,PN5 zygotes,PN5_KO_Ribo2,PN5 zygotes,PN5 zygotes,B6D2F1,PN5,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207630,33009305,3300930500,100,1179,SRX20004186,GSM7183979,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348757,SAMN34239070,simple,10090,Mus musculus,GSM7183979,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,Early 2-cell embryos,E2C_Het_Ribo1,Early 2-cell embryos,Early 2-cell embryos,B6D2F1,Early 2-cell,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207627,36326261,3632626100,100,1284,SRX20004187,GSM7183980,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348758,SAMN34239069,simple,10090,Mus musculus,GSM7183980,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,Early 2-cell embryos,E2C_Het_Ribo2,Early 2-cell embryos,Early 2-cell embryos,B6D2F1,Early 2-cell,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207626,35492983,3549298300,100,1242,SRX20004188,GSM7183981,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348756,SAMN34239068,simple,10090,Mus musculus,GSM7183981,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,Early 2-cell embryos,E2C_KO_Ribo1,Early 2-cell embryos,Early 2-cell embryos,B6D2F1,Early 2-cell,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207628,34544702,3454470200,100,1204,SRX20004189,GSM7183982,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348760,SAMN34239067,simple,10090,Mus musculus,GSM7183982,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,Early 2-cell embryos,E2C_KO_Ribo2,Early 2-cell embryos,Early 2-cell embryos,B6D2F1,Early 2-cell,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207625,42952653,4295265300,100,1625,SRX20004190,GSM7183983,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348759,SAMN34239066,simple,10090,Mus musculus,GSM7183983,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,PN5 zygotes,PN5_Het_Ribo3,PN5 zygotes,PN5 zygotes,B6D2F1,PN5,Eif4e1b Het; Rpl22 HA,missing,missing
SRR24207629,55087454,5508745400,100,2122,SRX20004191,GSM7183984,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348761,SAMN34239065,simple,10090,Mus musculus,GSM7183984,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,PN5 zygotes,PN5_KO_Ribo3,PN5 zygotes,PN5 zygotes,B6D2F1,PN5,Eif4e1b KO; Rpl22 HA,missing,missing
SRR24207624,50175537,5017553700,100,1895,SRX20004192,GSM7183985,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP433275,PRJNA956972,37257918,"",SRS17348762,SAMN34239064,simple,10090,Mus musculus,GSM7183985,"Laboratory of Cellular and Developmental Biology, National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health",SRA1623516,06,2023,Yang,Early 2-cell embryos,E2C_Het_Ribo3,Early 2-cell embryos,Early 2-cell embryos,B6D2F1,Early 2-cell,Eif4e1b Het; Rpl22 HA,missing,missing
