Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,infection,fraction,geo_loc_name,collection_date,treatment
SRR24212105,68454364,5750166576,84,2494,SRX20008632,GSM7184360,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352536,SAMN34249262,simple,9606,Homo sapiens,GSM7184360,Cornell University,SRA1623843,06,2023,Zhang,HeLa cells,HeLa-uninfected-tRNA (rep1),HeLa cells,HeLa cells,WT,uninfected,tRNA,missing,missing,
SRR24212104,32696347,2746493148,84,1202,SRX20008633,GSM7184361,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352537,SAMN34249261,simple,9606,Homo sapiens,GSM7184361,Cornell University,SRA1623843,06,2023,Zhang,HeLa cells,HeLa-VACV-tRNA (rep1),HeLa cells,HeLa cells,WT,vK1-C7- VACV,tRNA,missing,missing,
SRR24212102,56804471,4771575564,84,2067,SRX20008634,GSM7184362,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352538,SAMN34249260,simple,9606,Homo sapiens,GSM7184362,Cornell University,SRA1623843,06,2023,Zhang,HeLa cells,HeLa-WT-VACV-tRNA (rep1),HeLa cells,HeLa cells,WT,WT VACV,tRNA,missing,missing,
SRR24212101,13694930,1150374120,84,506,SRX20008635,GSM7184363,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352541,SAMN34249259,simple,9606,Homo sapiens,GSM7184363,Cornell University,SRA1623843,06,2023,Zhang,HeLa cells,HeLa-uninfected-tRNA (rep2),HeLa cells,HeLa cells,WT,uninfected,tRNA,missing,missing,
SRR24212103,10350262,869422008,84,390,SRX20008636,GSM7184364,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352539,SAMN34249258,simple,9606,Homo sapiens,GSM7184364,Cornell University,SRA1623843,06,2023,Zhang,HeLa cells,HeLa-VACV-tRNA (rep2),HeLa cells,HeLa cells,WT,vK1-C7- VACV,tRNA,missing,missing,
SRR24212100,10845416,911014944,84,401,SRX20008637,GSM7184365,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352542,SAMN34249257,simple,9606,Homo sapiens,GSM7184365,Cornell University,SRA1623843,06,2023,Zhang,HeLa cells,HeLa-WT-VACV-tRNA (rep2),HeLa cells,HeLa cells,WT,WT VACV,tRNA,missing,missing,
SRR24212099,40994652,3443550768,84,1449,SRX20008638,GSM7184366,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352540,SAMN34249256,simple,9606,Homo sapiens,GSM7184366,Cornell University,SRA1623843,06,2023,Zhang,BT20 cells,BT20-Con-RPF (rep1),BT20 cells,BT20 cells,Dox-inducible SAMD9 R1293W,,Ribosome protected fragment,missing,missing,nontreated
SRR24212098,35928168,3017966112,84,1276,SRX20008639,GSM7184367,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352544,SAMN34249255,simple,9606,Homo sapiens,GSM7184367,Cornell University,SRA1623843,06,2023,Zhang,BT20 cells,BT20-Dox-RPF (rep1),BT20 cells,BT20 cells,Dox-inducible SAMD9 R1293W,,Ribosome protected fragment,missing,missing,treatment with Dox for 12 hours
SRR24212097,40611562,3411371208,84,1426,SRX20008640,GSM7184368,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352543,SAMN34249254,simple,9606,Homo sapiens,GSM7184368,Cornell University,SRA1623843,06,2023,Zhang,BT20 cells,BT20-Con-RPF (rep2),BT20 cells,BT20 cells,Dox-inducible SAMD9 R1293W,,Ribosome protected fragment,missing,missing,nontreated
SRR24212096,67361041,5658327444,84,2376,SRX20008641,GSM7184369,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP433369,PRJNA957283,37285440,"",SRS17352545,SAMN34249253,simple,9606,Homo sapiens,GSM7184369,Cornell University,SRA1623843,06,2023,Zhang,BT20 cells,BT20-Dox-RPF (rep2),BT20 cells,BT20 cells,Dox-inducible SAMD9 R1293W,,Ribosome protected fragment,missing,missing,treatment with Dox for 12 hours
