Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,time point,agent,geo_loc_name,collection_date
SRR24451169,99721010,2390531857,23,1112,SRX20238243,GSM7300125,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572127,SAMN34601641,simple,4932,Saccharomyces cerevisiae,GSM7300125,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour DMSO, ribo profiling, biol rep 1",BY4742,BY4742,eIF4E-AID,1h,DMSO,missing,missing
SRR24451168,81308533,1875865089,23,887,SRX20238244,GSM7300126,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572128,SAMN34601640,simple,4932,Saccharomyces cerevisiae,GSM7300126,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour DMSO, ribo profiling, biol rep 2",BY4742,BY4742,eIF4E-AID,1h,DMSO,missing,missing
SRR24451167,54296679,1281452110,23,598,SRX20238245,GSM7300127,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572130,SAMN34601639,simple,4932,Saccharomyces cerevisiae,GSM7300127,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour IAA, ribo profiling, biol rep 1",BY4742,BY4742,eIF4E-AID,1h,500microM IAA,missing,missing
SRR24451166,65955746,1552421261,23,729,SRX20238246,GSM7300128,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572131,SAMN34601638,simple,4932,Saccharomyces cerevisiae,GSM7300128,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour IAA, ribo profiling, biol rep 2",BY4742,BY4742,eIF4E-AID,1h,500microM IAA,missing,missing
SRR24451165,42071631,2145653181,51,792,SRX20238247,GSM7300129,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572129,SAMN34601637,simple,4932,Saccharomyces cerevisiae,GSM7300129,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour DMSO, rnaseq, biol rep 1",BY4742,BY4742,eIF4E-AID,1h,DMSO,missing,missing
SRR24451164,57105234,2912366934,51,1075,SRX20238248,GSM7300130,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572132,SAMN34601636,simple,4932,Saccharomyces cerevisiae,GSM7300130,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour DMSO, rnaseq, biol rep 2",BY4742,BY4742,eIF4E-AID,1h,DMSO,missing,missing
SRR24451163,49304242,2514516342,51,925,SRX20238249,GSM7300131,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572133,SAMN34601635,simple,4932,Saccharomyces cerevisiae,GSM7300131,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour IAA, rnaseq, biol rep 1",BY4742,BY4742,eIF4E-AID,1h,500microM IAA,missing,missing
SRR24451162,66530495,3393055245,51,1250,SRX20238250,GSM7300132,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP436183,PRJNA967640,37214807,"",SRS17572135,SAMN34601634,simple,4932,Saccharomyces cerevisiae,GSM7300132,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 1 hour IAA, rnaseq, biol rep 2",BY4742,BY4742,eIF4E-AID,1h,500microM IAA,missing,missing
SRR24451161,14352953,408623133,28,474,SRX20238251,GSM7300133,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436183,PRJNA967640,37214807,"",SRS17572134,SAMN34601633,simple,4932,Saccharomyces cerevisiae,GSM7300133,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 8 hour DMSO, ribo profiling, biol rep 1",BY4742,BY4742,eIF4E-AID,8h,DMSO,missing,missing
SRR24451160,105026756,2422939619,23,3305,SRX20238252,GSM7300134,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP436183,PRJNA967640,37214807,"",SRS17572137,SAMN34601632,simple,4932,Saccharomyces cerevisiae,GSM7300134,"Ingolia, MCB, University of California - Berkeley",SRA1633814,05,2023,Diamond,BY4742,"BY4742 eIF4E-AID strain, 8 hour DMSO, ribo profiling, biol rep 2",BY4742,BY4742,eIF4E-AID,8h,DMSO,missing,missing
