Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ecotype,age,collection_date,geo_loc_name,tissue,BioSampleModel
SRR25120051,44798444,4524642844,101,2616,SRX20871883,RNA-Seq_Roots_replicate_1_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151602,SAMN36278252,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 1, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",RNA-Seq Roots replicate 1,Col-0,14-days,2014-10,Taiwan:Taipei,Roots,Plant
SRR25120050,45622719,4607894619,101,2629,SRX20871884,RNA-Seq_Roots_replicate_2_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151604,SAMN36278253,simple,3702,Arabidopsis thaliana,"RNA-Seq Roots replicate 2, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",RNA-Seq Roots replicate 2,Col-0,14-days,2014-11,Taiwan:Taipei,Roots,Plant
SRR25120049,44535317,4498067017,101,692,SRX20871885,RNA-Seq_Shoots_replicate_1_mapping_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151603,SAMN36278254,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 1, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",RNA-Seq Shoots replicate 1,Col-0,14-days,2014-10,Taiwan:Taipei,Shoots,Plant
SRR25120048,42612863,4303899163,101,630,SRX20871886,RNA-Seq_Shoots_replicate_2_mapping_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151605,SAMN36278255,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 2, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",RNA-Seq Shoots replicate 2,Col-0,14-days,2014-11,Taiwan:Taipei,Shoots,Plant
SRR25120047,5392471,156036207,28,83,SRX20871887,Ribo-Seq_Roots_replicate_1_mapping_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151609,SAMN36278256,simple,3702,Arabidopsis thaliana,"Ribo-Seq Roots replicate 1, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",Ribo-Seq Roots replicate 1,Col-0,14-days,2014-04,Taiwan:Taipei,Roots,Plant
SRR25120046,4695558,139928163,29,70,SRX20871888,Ribo-Seq_Roots_replicate_2_mapping_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151606,SAMN36278257,simple,3702,Arabidopsis thaliana,"Ribo-Seq Roots replicate 2, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",Ribo-Seq Roots replicate 2,Col-0,14-days,2014-06,Taiwan:Taipei,Roots,Plant
SRR25120045,6628148,197525496,29,86,SRX20871889,Ribo-Seq_Shoots_replicate_1_mapping_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151607,SAMN36278258,simple,3702,Arabidopsis thaliana,"Ribo-Seq Shoots replicate 1, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",Ribo-Seq Shoots replicate 1,Col-0,14-days,2014-04,Taiwan:Taipei,Shoots,Plant
SRR25120044,4969631,150673865,30,70,SRX20871890,Ribo-Seq_Shoots_replicate_2_mapping_20230630,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151608,SAMN36278259,simple,3702,Arabidopsis thaliana,"Ribo-Seq Shoots replicate 2, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",Ribo-Seq Shoots replicate 2,Col-0,14-days,2014-06,Taiwan:Taipei,Shoots,Plant
SRR25120043,44650350,4509685350,101,2596,SRX20871891,RNA-Seq_Shoots_replicate_1_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151603,SAMN36278254,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 1, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",RNA-Seq Shoots replicate 1,Col-0,14-days,2014-10,Taiwan:Taipei,Shoots,Plant
SRR25120042,42707942,4313502142,101,2445,SRX20871892,RNA-Seq_Shoots_replicate_2_20230630,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP447248,PRJNA990964,1,"",SRS18151605,SAMN36278255,simple,3702,Arabidopsis thaliana,"RNA-Seq Shoots replicate 2, 20230630",Academia Sinica,SRA1666775,07,2023,Makar,"",RNA-Seq Shoots replicate 2,Col-0,14-days,2014-11,Taiwan:Taipei,Shoots,Plant
