id,title,abstract
PRJNA1019689,"Gene expression data in total mRNA and light and heavy polysome fractions from human SKMEL28 melanoma cell line shCont, shp16","p16/CDKN2A is a critical cell cycle regulator and tumor suppressor that is lost in ~50% of all human cancers. Recent studies have identified roles of p16 outside of the cell cycle. Understanding the fundamental biology of p16 loss in cancer may provide novel targets to exploit for therapy. Overall design: To investigate the transcriptonal and translational differences upon p16 loss, we knocked down p16 in SKMEL28 human melanoma cell lines. We isolated total mRNA and fractionated light (0-2) and heavy (>2) ribosome fractions. All samples were done in triplicate. Comparative gene expression profiling analysis for SKMEL28 shGFP (control) and shp16."
PRJDB16512,Mettl1-dependent m7G tRNA modification is essential for maintaining spermatogenesis and fertility in Drosophila melanogaster,"N7-methylguanosine (m7G) in the variable loop region of tRNA is catalyzed by METTL1/WDR4 heterodimer and stabilizes target tRNA. Here, we reveal essential functions of Mettl1 in Drosophila fertility. Knockout of Mettl1 (Mettl1-KO) lost the elongated spermatids and mature sperm, which was fully rescued by a Mettl1-transgene expression, but not a catalytic-dead Mettl1 transgene. This demonstrates that Mettl1-dependent m7G is required for spermatogenesis. Mettl1-KO resulted in a loss of m7G modification on a subset of tRNAs and a decreased level of tRNA expression. Strikingly, overexpression of the translational elongation factor, EF1alpha1, which can compete with the rapid tRNA decay (RTD) pathway in S. cerevisiae, significantly counteracted the sterility of Mettl1-KO males, supporting a critical role of m7G modification of tRNAs in spermatogenesis. Ribosome profiling showed that Mettl1-KO led to the ribosome stalling at codons decoded by tRNAs that were reduced in expression. Mettl1-KO also significantly reduced the translation efficiency of genes involved in elongated spermatid formation and sperm stability. These findings reveal a developmental role for m7G tRNA modifications and indicate that m7G modification-dependent tRNA stability differs among tissues. Overall design: TRAC-seq were performed to identify the m7G-modified tRNAs using gonads of Mettl1-KO and wild-type flies. Ribosome profiling was conducted to measure the changes in translation of genes related to sperm development using testes of Mettl1-KO and wild-type male flies."
PRJNA1015631,GTPBP8 is essential for mitoribosome formation in human mitochondria,"Mitochondrial gene expression relies on mitoribosomes to translate mitochondrial mRNAs. The biogenesis of mitoribosomes is an intricate process involving multiple assembly factors. Among these factors, GTP-binding proteins (GTPBPs) play crucial roles. In bacterial systems, numerous GTPBPs are required for ribosome subunit maturation, with EngB being a GTPBP involved in the ribosomal large subunit assembly. In this study, we focused on exploring the function of GTPBP8, the human homolog of EngB. We found that ablation of GTPBP8 leads to the inhibition of mitochondrial translation, resulting in significant impairment of oxidative phosphorylation. In the absence of GTPBP8, numerous mitoribosomal proteins from both subunits become destabilized, indicating GTPBP8's involvement in synchronized subunit assembly. Furthermore, structural analysis of mitoribosomes from GTPBP8 knock-out cells showed the accumulation of mitoribosomal large subunit assembly intermediates that are incapable of forming functional monosomes. Our study highlights the crucial role of GTPBP8 as a component of the mitochondrial gene expression machinery involved in mitoribosome biogenesis. Overall design: The mitochondrial translation was investigated by mitochondrial ribosome profiling (mitoRiboSeq) in two HEK293 cell lines: HEK293 wildtype, GTPBP8 knockout 1"
PRJNA1013070,A high-resolution map of functional  miR-181 target sites in the thymus reveals the role of coding sequence targeting and alternative seed binding,"MicroRNAs (miRNAs) are critical post-transcriptional regulators in many biological processes. They act by guiding RNA-induced silencing complexes to miRNA response elements (MREs) in target mRNA, resulting in translational inhibition and/or mRNA degradation. Efficient targeting depends on a combination of biochemically established targeting rules and contextual factors of a given miRNA and cell type. Here, we generated a high-resolution map of miR-181 MREs to define the targeting rules of miRNA miR-181a/b-1 in murine T-cell development. We uncovered a broad array of novel functional targets of miR-181 and demonstrated that miR-181 acts predominantly through RNA destabilization. High-resolution analysis validated the dominance of seed matches. Critically, we also discovered a unique alternative seed match for miR-181 and identified a distinct group of targets controlled by translational inhibition. In conclusion, deep profiling of miRNA MREs in primary cells is critical to expand physiologically relevant miRNA targetomes and helps to establish context-dependent miRNA targeting rules. Overall design: Ribosome footprinting and RNAseq were performed with mouse thymocytes isolated from 3 WT and 3 miR-181a/b-1 KO mice."
PRJEB63162,Ribo-seq of Arabidopsis mTRAN double mutants,"mTRAN proteins are are plant specific-components of the mitoribosome. To asses of loss-of-function mtran1 mtran2 double mutants show decreased translation rates, we performed ribosome footprinting coupled to RNA-seq (Ribo-seq)."
PRJNA1012492,Effect of CCK-8s injection (20 ug/kg BW i.p.) on mRNA translational activity in hypothalamic oxytocin neurons of mice fed standard chow or high-fat/high-sugar diet (RiboTag;TRAP),"Oxytocin-expressing paraventricular hypothalamic neurons (PVN^OT neurons) integrate afferent signals from the gut including cholecystokinin (CCK) to adjust whole-body energy homeostasis. However, the molecular underpinnings by which PVN^OT neurons orchestrate gut-to-brain feeding control remain unclear. Here, we show that mice undergoing selective ablation of PVNOT neurons fail to reduce food intake in response to CCK and develop hyperphagic obesity on chow diet. Notably, exposing wildtype mice to a high-fat/high-sugar (HFHS) diet recapitulates this insensitivity towards CCK, which is linked to diet-induced transcriptional and electrophysiological aberrations specifically in PVNOT neurons. Restoring OT pathways in DIO mice via chemogenetics or polypharmacology sufficiently re-establishes CCK?s anorexigenic effects. Lastly, by single-cell profiling, we identify a specialized PVN^OT neuronal subpopulation with increased ?-opioid signaling under HFHS diet, which restrains their CCK-evoked activation. In sum, we here document a novel (patho)mechanism by which PVN^OT signaling uncouples a gut-brain satiation pathway under obesogenic conditions. Overall design: We treated male Oxt-ires-Cre;RiboTag mice with either vehicle or CCK, collected hypothalami 2h post injection, pooled 2-3 tissues per sample, and affinity purified conditionally HA-tagged ribosomes (incl translating mRNA) specifically from oxytocin neurons. We then performed gene expression profiling analysis using data obtained from RNA-seq of immunoprecipitates versus inputs (n=4 per group) from standard chow diet fed mice and inputs only from high-fat/high-sugar diet fed mice (n=4 per group) Comparative gene expression profiling analysis of RNA-seq data for TRAP (translating ribosome affinity pufification) between vehicle and CCK-treated mice across immunopreciptates per diet. HTSeq quantification of transcript expression"
PRJNA1004256,Genome-wide screens for mitonuclear co-regulators uncover links between compartmentalized metabolism and mitochondrial gene expression,"Mitochondrial oxidative phosphorylation (OXPHOS) complexes are assembled from proteins encoded by both nuclear and mitochondrial DNA. These dual-origin enzymes pose a complex gene regulatory challenge for cells requiring coordinated gene expression across organelles. To identify genes involved in dual-origin protein complex synthesis, we performed FACS-based genome-wide screens analyzing mutant cells with unbalanced levels of mitochondrial- and nuclear-encoded subunits of Complex IV. We identified novel genes involved in OXPHOS biogenesis, including two uncharacterized genes: PREPL and NME6. We found that PREPL specifically impacts Complex IV biogenesis by acting at the intersection of mitochondrial lipid metabolism and protein synthesis, while NME6, an uncharacterized nucleoside diphosphate kinase (NDPK), controls OXPHOS biogenesis through multiple mechanisms reliant on its NDPK domain. First, NME6 forms a complex with RCC1L, which together perform NDPK activity to maintain local mitochondrial pyrimidine triphosphate levels essential for mitochondrial RNA abundance. Second, NME6 modulates the activity of mitoribosome regulatory complexes, altering mitoribosome assembly and mitochondrial RNA pseudouridylation. Taken together, we propose that NME6 acts as a link between compartmentalized mitochondrial metabolites and mitochondrial gene expression. Overall design: Ribosome profiling and total RNA-sequencing in control and NME6 KO K562 cells"
PRJNA1002994,The IGF2BP3-COPS7B axis facilitates mRNA translation to drive colorectal cancer progression,"Many studies have provided valuable information about genomic and transcriptomic changes that occur in colorectal cancer (CRC). However, protein abundance cannot be reliably predicted by DNA alteration or mRNA expression, which can be partially attributed to post-transcriptional and/or translational regulation of gene expression. In this study, we identified increased translational efficiency (TE) as a hallmark of CRC by evaluating the transcriptomic and proteomic features of CRC patients, along with comparative transcriptomic and ribosome-protected mRNA analysis in colon epithelial cells and colon cancer cells. COPS7B was among the key genes that consistently showed both significant TE increase and protein elevation without transcriptional alteration in CRC. IGF2BP3 enhanced the TE of COPS7B mRNA to promote CRC growth and metastasis. COPS7B was found to be a component of the ribo-interactome that interacted with ribosomes to facilitate ribosome biogenesis and mRNA translation initiation. Collectively, this study revealed the proteomic features of CRC and highlighted elevated mRNA translation as a hallmark of CRC. The identification of the  IGF2BP3-COPS7B axis underlying the increased protein synthesis rate in CRC provided a  promising therapeutic target to treat this aggressive disease. Overall design: To investigate the TE changes of global mRNAs in three colon cancer cell lines (HCT116, HCT15 and SW620) compared with colon epithelial cells (841-CON) respectively through Ribo-seq"
PRJNA996338,Ribosome profiling of Huh7 cells infected with hCoV-229E,"Huh7 cells infected with hCoV-229E and exposed to carrimycin for 24h, cells were then applied to ribosome profiling to study the antiviral effect of carrimycin on hCoV-229E. Experiments have been conducted twice."
PRJNA994502,The translational landscape of direct cardiac reprogramming reveals a role of Ybx1 in repressing cardiac fate acquisition [scRNA-seq],"Direct reprogramming of fibroblasts into induced cardiomyocytes (iCMs) holds great promise for heart regeneration. Although great progress has been made in understanding the transcriptional and epigenetic mechanisms of iCM reprogramming, its translational regulation remains largely unexplored. Here we characterized the translational landscape of iCM reprogramming using integrative ribosome and transcriptomic profiling, and showed extensive translatome re-patterning during fibroblast conversion into iCM. Loss of function screening for translational regulators uncovered Ybx1 as a critical barrier to iCM induction. Knockdown of Ybx1 dramatically improved the efficiency and quality of iCM reprogramming. Mechanistically, Ybx1 directly bound the transcripts of Srf and Baf60c, both of which mediated, at least partially, the repressive effect of Ybx1 on iCM generation.and Depletion of Ybx1 de-repressed the translation of its targets including SRF and Baf60c. Interestingly, upon removing Ybx1, Tbx5 alone could reprogram fibroblasts into iCMs that exhibit classic iCM molecular features and reprogramming trajectories revealed by our single cell dual-omics. In sum, we presented here a global view of translatome dynamics of cardiac reprogramming and identified a novel translational barrier, Ybx1, to iCM generation. Removing this barrier allowed the single factor mediated iCM reprogramming. Overall design: Single-cell RNA-seq profiles of T+shNT and T+shYbx1 infected  fibroblast were generated at day 12 post infection by 10x Genomics Chromium System."
