Run,BioProject
DRR244662,PRJDB10544
DRR244663,PRJDB10544
DRR255640,PRJDB10799
DRR255641,PRJDB10799
DRR255642,PRJDB10799
DRR255643,PRJDB10799
DRR255644,PRJDB10799
DRR255645,PRJDB10799
DRR255646,PRJDB10799
DRR255647,PRJDB10799
DRR277023,PRJDB11308
DRR277024,PRJDB11308
DRR277025,PRJDB11308
DRR277026,PRJDB11308
DRR277027,PRJDB11308
DRR277028,PRJDB11308
DRR277029,PRJDB11308
DRR277030,PRJDB11308
DRR277031,PRJDB11308
DRR277032,PRJDB11308
DRR277035,PRJDB11308
DRR277036,PRJDB11308
DRR277039,PRJDB11308
DRR277040,PRJDB11308
DRR277043,PRJDB11308
DRR277044,PRJDB11308
DRR277047,PRJDB11308
DRR277048,PRJDB11308
DRR277051,PRJDB11308
DRR277052,PRJDB11308
DRR277055,PRJDB11308
DRR277056,PRJDB11308
DRR277059,PRJDB11308
DRR277060,PRJDB11308
DRR277063,PRJDB11308
DRR277064,PRJDB11308
DRR277067,PRJDB11308
DRR277068,PRJDB11308
DRR277071,PRJDB11308
DRR277072,PRJDB11308
DRR277075,PRJDB11308
DRR277076,PRJDB11308
DRR277079,PRJDB11308
DRR277080,PRJDB11308
DRR395056,PRJDB13770
DRR395057,PRJDB13770
DRR395058,PRJDB13770
DRR395059,PRJDB13770
DRR395060,PRJDB13770
DRR395061,PRJDB13770
DRR395062,PRJDB13770
DRR395063,PRJDB13770
DRR395064,PRJDB13770
DRR395065,PRJDB13770
DRR395066,PRJDB13770
DRR395067,PRJDB13770
DRR395080,PRJDB13770
DRR395081,PRJDB13770
DRR395082,PRJDB13770
DRR395083,PRJDB13770
DRR395084,PRJDB13770
DRR395085,PRJDB13770
DRR395086,PRJDB13770
DRR395087,PRJDB13770
DRR395088,PRJDB13770
DRR395089,PRJDB13770
DRR395090,PRJDB13770
DRR395091,PRJDB13770
DRR428600,PRJDB15060
DRR428601,PRJDB15060
DRR428602,PRJDB15060
DRR428603,PRJDB15060
DRR428604,PRJDB15060
DRR428605,PRJDB15060
DRR428606,PRJDB15060
DRR428607,PRJDB15060
DRR207365,PRJDB9278
ERR1190989,PRJEB12126
ERR1190990,PRJEB12126
ERR1190991,PRJEB12126
ERR1190992,PRJEB12126
ERR1190999,PRJEB12126
ERR1191000,PRJEB12126
ERR1191001,PRJEB12126
ERR1191002,PRJEB12126
ERR1191003,PRJEB12126
ERR1191004,PRJEB12126
ERR1191005,PRJEB12126
ERR1191006,PRJEB12126
ERR1191007,PRJEB12126
ERR1191008,PRJEB12126
ERR1191009,PRJEB12126
ERR1191010,PRJEB12126
ERR1191011,PRJEB12126
ERR1191012,PRJEB12126
ERR1191019,PRJEB12126
ERR1191020,PRJEB12126
